Source,Paper_ID,First_Author,Year,River,Station_ID,Season_Norm,Background_standard,Cr,Ni,Cu,As,Cd,Pb,Mn,Fe,Igeo_Cr,Igeo_Ni,Igeo_Cu,Igeo_As,Igeo_Cd,Igeo_Pb,Igeo_Mn,Igeo_Fe,CF_Cr,CF_Ni,CF_Cu,CF_As,CF_Cd,CF_Pb,CF_Mn,CF_Fe,EF_Cr,EF_Ni,EF_Cu,EF_As,EF_Cd,EF_Pb,EF_Mn,PLI
Primary,0,Hasan,2024,Dhaleshwari,S1,Rainy,"(field measurement, no original index)",92.69,19.18,40.34,7.96,2.66,50.73,32.47,26700.0,-0.5424738022405755,-2.4108945267280895,-0.7426764182125939,-1.292633788093324,2.563429339171515,0.7578766597478961,-5.295246052234857,-1.4069096183954435,1.0298888888888889,0.28205882352941175,0.8964444444444445,0.6123076923076923,8.866666666666667,2.5364999999999998,0.0382,0.565677966101695,1.8206275488972117,0.498620841595065,1.5847257594673325,1.082431575914722,15.674406991260925,4.484,0.06752958801498127,0.7263674579305737
Primary,0,Hasan,2024,Dhaleshwari,S2,Rainy,"(field measurement, no original index)",88.4,17.21,41.56,9.88,2.97,38.9,30.11,34970.0,-0.6108411325467616,-2.5672501497060165,-0.6996918479213436,-0.9808911770522952,2.722466024471091,0.374807654490311,-5.404110728796267,-1.0176315642726435,0.9822222222222223,0.25308823529411767,0.9235555555555556,0.76,9.9,1.9449999999999998,0.03542352941176471,0.7408898305084746,1.3257331681123503,0.3416003633366415,1.2465491055825628,1.025793537317701,13.362310551901631,2.6252216185301687,0.04781214149943649,0.7381928328430151
Primary,0,Hasan,2024,Dhaleshwari,S3,Rainy,"(field measurement, no original index)",66.92,37.52,49.47,15.48,2.1,32.79,30.58,23970.0,-1.012450056787203,-1.4428374192308437,-0.44833360266693223,-0.3330686524925627,2.222392421336448,0.12829340100981756,-5.381765030160141,-1.5625194513212268,0.7435555555555555,0.5517647058823529,1.0993333333333333,1.1907692307692308,7.000000000000001,1.6395,0.03597647058823529,0.5078389830508474,1.4641561210772724,1.0864953741196104,2.164728132387707,2.34477712525272,13.783896537338341,3.228385481852315,0.07084227833811872,0.7611097739014774
Primary,0,Hasan,2024,Dhaleshwari,S4,Rainy,"(field measurement, no original index)",55.56,26.08,69.77,18.77,1.79,43.4,31.62,23990.0,-1.280840902844163,-1.9675533775151428,0.04771933147869243,-0.05504547380609881,1.9919626809345818,0.5327325419485983,-5.333516069162574,-1.5613162026769254,0.6173333333333334,0.38352941176470584,1.5504444444444443,1.4438461538461538,5.966666666666667,2.17,0.037200000000000004,0.5082627118644067,1.2145949701264416,0.7545889218546943,3.0504784400907785,2.840747747458877,11.739335834375433,4.269445602334306,0.07319049604001668,0.7747111005426109
Primary,0,Hasan,2024,Dhaleshwari,S5,Rainy,"(field measurement, no original index)",64.5,30.62,73.19,20.96,1.45,53.55,32.84,35130.0,-1.0655883416275767,-1.7360229642464322,0.11675904339576618,0.10416459290047736,1.6880559936852597,0.835924074254375,-5.2788993097431405,-1.0110457837479885,0.7166666666666667,0.45029411764705884,1.6264444444444444,1.6123076923076924,4.833333333333333,2.6774999999999998,0.038635294117647066,0.7442796610169492,0.9628997058544454,0.6050066140888465,2.185259828573236,2.166265957213865,6.4939747604137015,3.597438087105038,0.05190964652299861,0.8655151115639685
Primary,0,Hasan,2024,Dhaleshwari,S6,Rainy,"(field measurement, no original index)",60.35,11.72,98.28,10.42,0.82,37.88,30.92,38700.0,-1.1615337311831717,-3.1215246773239724,0.5420103555366091,-0.9041188463584647,0.865698908288409,0.3364738300851419,-5.3658131175960975,-0.8714157939385871,0.6705555555555556,0.1723529411764706,2.184,0.8015384615384615,2.7333333333333334,1.8940000000000001,0.036376470588235295,0.8199152542372882,0.8178351995406259,0.21020823833409336,2.66368992248062,0.9775869608427747,3.333677863910422,2.309994832041344,0.04436613467092264,0.6483903914269246
Primary,0,Hasan,2024,Dhaleshwari,S7,Rainy,"(field measurement, no original index)",69.37,14.95,96.72,19.88,0.97,33.47,34.52,43480.0,-0.9605756175814631,-2.770351762660753,0.518926742423568,0.02784363292531297,1.1080597458574533,0.1579060503032863,-5.20692097234199,-0.7033974199430506,0.7707777777777778,0.21985294117647058,2.1493333333333333,1.5292307692307692,3.2333333333333334,1.6735,0.040611764705882354,0.9211864406779661,0.83672288664009,0.2386628064289193,2.3332229377491562,1.6600665204161063,3.5099662680159462,1.8166789328426862,0.044086368309973485,0.7612270854445743
Primary,0,Hasan,2024,Turag,S8,Rainy,"(field measurement, no original index)",15.7,40.76,73.87,11.36,2.17,98.1,35.8,45600.0,-3.1041229430465664,-1.3233431955804065,0.130101075487767,-0.7795112891322911,2.2696981361148048,1.709290635723358,-5.154393849369327,-0.6347155359182559,0.17444444444444443,0.5994117647058823,1.6415555555555557,0.8738461538461538,7.233333333333333,4.904999999999999,0.042117647058823524,0.9661016949152542,0.18056530214424948,0.6204437564499483,1.6991539961013646,0.9045074224021592,7.487134502923976,5.077105263157894,0.04359545923632611,0.8259279737970359
Primary,0,Hasan,2024,Turag,S9,Rainy,"(field measurement, no original index)",12.74,39.43,87.2,10.78,3.6,170.4,32.26,47900.0,-3.405522224569255,-1.3712035366384039,0.3694406328387331,-0.8551169458844676,3.0000000000000004,2.5058909297299574,-5.304606998365302,-0.5637237043468172,0.14155555555555555,0.5798529411764706,1.9377777777777778,0.8292307692307692,12.0,8.52,0.037952941176470585,1.0148305084745763,0.1394868939921132,0.5713790986123051,1.9094595221526327,0.8171125742733258,11.824634655532359,8.395490605427975,0.037398305292889594,0.9213730274695172
Primary,0,Hasan,2024,Turag,S10,Rainy,"(field measurement, no original index)",11.13,47.01,80.78,18.9,2.79,108.6,33.18,50395.0,-3.600433909483596,-1.1175295665524838,0.2591106438775309,-0.045087889528538205,2.632268215499513,1.8559896973084806,-5.264039550565082,-0.4904687581910052,0.12366666666666667,0.6913235294117647,1.795111111111111,1.4538461538461538,9.3,5.43,0.03903529411764706,1.0676906779661017,0.11582630551972749,0.6474942075252563,1.6813025983618304,1.361673548199989,8.710387935311044,5.085742633197738,0.03656048977781409,0.9098424239571082
Primary,0,Hasan,2024,Buriganga,S11,Rainy,"(field measurement, no original index)",74.47,49.94,141.4,9.88,5.56,155.4,36.46,42650.0,-0.8582281446132617,-1.030301425818008,1.0668227128712056,-0.9808911770522952,3.627087976393833,2.3729520979118295,-5.128038875481811,-0.7312036187647073,0.8274444444444444,0.7344117647058823,3.1422222222222222,0.76,18.53333333333333,7.7700000000000005,0.042894117647058826,0.9036016949152542,0.9157181190569232,0.8127604992759119,3.477441709000912,0.8410785463071514,20.510511918718247,8.59892145369285,0.047470160678573896,1.2988523548984043
Primary,0,Hasan,2024,Buriganga,S12,Rainy,"(field measurement, no original index)",86.82,55.88,147.9,7.98,7.94,177.9,34.51,46870.0,-0.6368600795726749,-0.8681652263367572,1.1316626451608744,-1.2890134724146272,4.141142100813283,2.5680321047712793,-5.207338963085429,-0.5950845654913356,0.9646666666666666,0.821764705882353,3.2866666666666666,0.6138461538461539,26.46666666666667,8.895,0.0406,0.9930084745762712,0.9714586444776331,0.8275505465681046,3.3098072683308444,0.6181680917759433,26.65301187682242,8.957627480264561,0.04088585449114572,1.404940778405789
Primary,0,Hasan,2024,Balu,S13,Rainy,"(field measurement, no original index)",10.37,29.73,56.47,6.67,1.96,35.98,35.79,32700.0,-3.70247160801233,-1.7785777838385757,-0.25740287084426616,-1.5477154574523881,2.1228567477855336,0.2622326858682388,-5.154796893104561,-1.114458724584915,0.11522222222222221,0.43720588235294117,1.254888888888889,0.5130769230769231,6.533333333333333,1.799,0.042105882352941174,0.6927966101694916,0.1663146449201495,0.6310739341608202,1.8113380903839618,0.7405880969183721,9.430377166156983,2.5967217125382263,0.06077668645439827,0.5698565745904604
Primary,0,Hasan,2024,Balu,S14,Rainy,"(field measurement, no original index)",9.44,21.94,53.71,6.9,1.15,31.48,37.18,26320.0,-3.8380287374637145,-2.216933721343027,-0.3296967806700216,-1.4988058569714415,1.3536369546147007,0.06947304012424332,-5.099826666601463,-1.4275898712351183,0.10488888888888888,0.32264705882352945,1.1935555555555555,0.5307692307692308,3.833333333333333,1.574,0.043741176470588235,0.5576271186440678,0.18809861533265787,0.5786071875558735,2.140418777440054,0.9518353986439092,6.874366767983789,2.8226747720364744,0.0784416234578938,0.4868303598701362
Primary,0,Hasan,2024,Shitalakshya,S15,Rainy,"(field measurement, no original index)",51.37,16.78,71.89,15.71,8.7,76.52,37.24,30790.0,-1.3939614284785966,-2.603754531306397,0.09090360155024356,-0.3117909433427766,4.273018494406416,1.350874372962869,-5.097500363962151,-1.2012874929255426,0.5707777777777777,0.24676470588235297,1.5975555555555556,1.2084615384615385,29.0,3.8259999999999996,0.043811764705882356,0.6523305084745763,0.8749824979250116,0.3782817186634316,2.448997149146548,1.8525295425587731,44.455992205261445,5.865125040597596,0.06716191276770533,0.9816463088086086
Primary,0,Hasan,2024,Shitalakshya,S16,Rainy,"(field measurement, no original index)",40.75,46.14,85.56,13.92,10.16,98.47,38.75,36500.0,-1.7280874428197532,-1.1444792430632376,0.34204898033948866,-0.48631491278824485,4.496831590442492,1.7147217574157987,-5.040157126471983,-0.9558528963156179,0.4527777777777778,0.6785294117647059,1.9013333333333333,1.0707692307692307,33.86666666666667,4.9235,0.045588235294117645,0.7733050847457628,0.585509893455099,0.8774407735697018,2.458710502283105,1.3846659641728136,43.79470319634704,6.366827397260274,0.058952457695406926,1.176744686826256
Primary,0,Hasan,2024,Shitalakshya,S17,Rainy,"(field measurement, no original index)",44.82,50.63,91.33,15.84,9.42,95.44,34.56,25110.0,-1.5907448533151622,-1.0105047628364092,0.4362013311240111,-0.29990178855736344,4.387730153283108,1.6696315423119847,-5.205250219357477,-1.49548733169886,0.498,0.7445588235294118,2.0295555555555556,1.2184615384615385,31.400000000000002,4.772,0.04065882352941177,0.5319915254237289,0.93610513739546,1.3995689554196828,3.8150148236647636,2.290377722635787,59.02349661489447,8.970067702110713,0.07642757748260595,1.1458528293218269
Primary,0,Hasan,2024,Dhaleshwari,S1,Winter,"(field measurement, no original index)",106.58,34.35,69.95,9.12,4.43,105.9,30.69,29400.0,-0.3410226690655212,-1.5701871480407577,0.05143655522656005,-1.0963683944722316,3.2993097922253436,1.8196681834964556,-5.37658479105446,-1.267933205246633,1.1842222222222223,0.5051470588235294,1.5544444444444445,0.7015384615384614,14.766666666666666,5.295,0.036105882352941175,0.6228813559322034,1.9012003023431592,0.810984393757503,2.49557067271353,1.1262794348508633,23.70702947845805,8.500816326530613,0.05796590636254502,1.0173050071365657
Primary,0,Hasan,2024,Dhaleshwari,S2,Winter,"(field measurement, no original index)",104.28,27.1,75.12,13.79,3.82,96.14,32.41,32100.0,-0.3724969192899991,-1.9122043955049863,0.15430956082821912,-0.49985166712299284,3.085575731706074,1.6801743027546525,-5.297914416203104,-1.1411760629606942,1.1586666666666667,0.3985294117647059,1.6693333333333333,1.0607692307692307,12.733333333333333,4.807,0.03812941176470588,0.6800847457627118,1.7037092419522326,0.5859996334982591,2.454596053997923,1.5597603642463456,18.723156801661474,7.06823676012461,0.05606567711196627,1.0331247837207962
Primary,0,Hasan,2024,Dhaleshwari,S3,Winter,"(field measurement, no original index)",89.77,59.33,71.13,26.17,2.95,77.36,30.14,27970.0,-0.5886541071121695,-0.7817354642862286,0.07557066137760837,0.42443980041106194,2.712718047919529,1.366625294093598,-5.402674019923121,-1.3398691064941681,0.9974444444444444,0.8724999999999999,1.5806666666666667,2.013076923076923,9.833333333333334,3.868,0.035458823529411765,0.5925847457627119,1.6832097882652046,1.472363246335359,2.6674103205815753,3.3971122906410716,16.593969729472057,6.527336431891312,0.059837557046415274,1.1044017958390433
Primary,0,Hasan,2024,Dhaleshwari,S4,Winter,"(field measurement, no original index)",71.55,49.17,92.34,25.35,2.36,90.48,29.58,25780.0,-0.9159357352115255,-1.0527188919256052,0.45206823022381093,0.37851162325372983,2.3907899530321663,1.5926364286065773,-5.429731384421878,-1.4574970966087089,0.7949999999999999,0.7230882352941177,2.052,1.9500000000000002,7.866666666666666,4.524,0.0348,0.5461864406779661,1.4555469356089992,1.3238853648519144,3.756958882854926,3.5702094647013194,14.402896302042928,8.28288595810706,0.0637145073700543,1.0568186939443214
Primary,0,Hasan,2024,Dhaleshwari,S5,Winter,"(field measurement, no original index)",100.15,50.68,100.22,28.37,2.1,79.1,33.78,36480.0,-0.4307969861254855,-1.0090807226054108,0.570211035604022,0.5408920266373859,2.222392421336448,1.3987151939769107,-5.238184108719559,-0.9566436308056182,1.1127777777777779,0.7452941176470588,2.2271111111111113,2.1823076923076923,7.000000000000001,3.9549999999999996,0.03974117647058824,0.7728813559322034,1.4397782651072124,0.9643059855521156,2.881569200779727,2.8235998650472336,9.05701754385965,5.117214912280701,0.051419504643962846,1.1664711729521249
Primary,0,Hasan,2024,Dhaleshwari,S6,Winter,"(field measurement, no original index)",86.2,23.32,189.14,14.2,1.5,63.44,31.45,35130.0,-0.6471996328490952,-2.128929458545724,1.4864950945577329,-0.4575831942449287,1.7369655941662063,1.0804302703207351,-5.341293419754294,-1.0110457837479885,0.9577777777777778,0.34294117647058825,4.203111111111111,1.0923076923076922,5.0,3.1719999999999997,0.037,0.7442796610169492,1.2868520099946232,0.46076924364963745,5.6472201663661945,1.4676038450590116,6.717904924565898,4.2618388841446055,0.04971249644178764,0.9491397539962387
Primary,0,Hasan,2024,Dhaleshwari,S7,Winter,"(field measurement, no original index)",105.53,22.18,112.23,21.37,1.36,40.55,30.98,38900.0,-0.3553062216259447,-2.2012378815845106,0.7334989644464269,0.13211278402283816,1.5956097449206648,0.434739413721392,-5.363016292731377,-0.8639792050968055,1.1725555555555556,0.3261764705882353,2.494,1.643846153846154,4.533333333333334,2.0275,0.036447058823529416,0.8241525423728814,1.422740931162525,0.3957719643127174,3.02613881748072,1.9945896776745107,5.500599828620395,2.460102827763496,0.04422368062906396,0.9006354462604078
Primary,0,Hasan,2024,Turag,S8,Winter,"(field measurement, no original index)",18.19,81.17,100.19,12.54,3.69,233.47,30.74,44210.0,-2.891741959174069,-0.3295506335705736,0.5697791125308225,-0.6369367758349344,3.0356239097307216,2.9602027752282556,-5.374236271830174,-0.6793766260162936,0.20211111111111113,1.1936764705882352,2.2264444444444442,0.9646153846153845,12.3,11.6735,0.03616470588235294,0.9366525423728813,0.21578024077006208,1.2744069082054899,2.3770227952449168,1.029854018408644,13.131870617507353,12.462999321420494,0.038610588501403725,1.1224747111822575
Primary,0,Hasan,2024,Turag,S9,Winter,"(field measurement, no original index)",17.16,85.22,105.64,14.23,5.14,250.11,33.67,43980.0,-2.97583794932601,-0.259305195568001,0.6461967993415373,-0.4545384621104906,3.5137714528642032,3.059528335259631,-5.242889715693299,-0.6869017561153916,0.19066666666666668,1.253235294117647,2.3475555555555556,1.0946153846153845,17.133333333333333,12.505500000000001,0.03961176470588235,0.9317796610169492,0.20462634530847354,1.3449910387074338,2.5194320650800868,1.1747577570224228,18.387752008488704,13.421091405184175,0.04251194393173368,1.218381076215076
Primary,0,Hasan,2024,Turag,S10,Winter,"(field measurement, no original index)",13.56,57.59,98.65,19.87,2.9,217.8,31.47,47390.0,-3.3155303236892117,-0.8246789250501096,0.5474315487853656,0.027117748612697067,2.6880559936852597,2.8599695482210263,-5.340376258222522,-0.579166699337759,0.15066666666666667,0.8469117647058824,2.1922222222222225,1.5284615384615385,9.666666666666666,10.89,0.037023529411764705,1.0040254237288135,0.1500626011113456,0.8435162543599419,2.183432979297086,1.522333501063191,9.627910248294295,10.846338890061196,0.03687509154326428,1.0664492627539013
Primary,0,Hasan,2024,Buriganga,S11,Winter,"(field measurement, no original index)",93.3,71.63,177.37,12.81,7.1,259.1,30.19,40100.0,-0.5330104210864345,-0.5099333050339707,1.3938026085002,-0.6062036482953265,3.9798221180623696,3.1104746096842133,-5.40028268000732,-0.8201471236280772,1.0366666666666666,1.0533823529411763,3.9415555555555555,0.9853846153846154,23.666666666666668,12.955000000000002,0.03551764705882353,0.8495762711864406,1.2202161263507896,1.2398914478509606,4.639436963147687,1.159854210627278,27.857024106400665,15.248778054862845,0.041806307760011735,1.5820308911151508
