Metal,Station,Level,Feature,LIME_weight
As,S13,low,dist_industry,1.3685859521291421
As,S13,low,AE_48,1.1752169726451274
As,S13,low,AE_12,0.9357490731320376
As,S13,low,AE_26,0.9186439774777948
As,S13,low,AE_33,-0.8230631723728934
As,S13,low,AE_18,0.8040495737634388
As,S13,low,AE_08,-0.7266274781579437
As,S13,low,AE_10,-0.6626672382407185
As,S13,low,AE_49,-0.6007868317193178
As,S13,low,AE_53,0.5447371741233791
As,IDW_SR_72,medium,AE_48,1.3275447747874687
As,IDW_SR_72,medium,AE_47,1.027526819860784
As,IDW_SR_72,medium,AE_49,-0.9569897799942576
As,IDW_SR_72,medium,AE_12,0.9546675307003015
As,IDW_SR_72,medium,AE_06,-0.7775379535818182
As,IDW_SR_72,medium,AE_15,-0.7342746417022268
As,IDW_SR_72,medium,AE_09,-0.7331659057045031
As,IDW_SR_72,medium,AE_26,-0.7135065076624969
As,IDW_SR_72,medium,AE_14,-0.5751613447867252
As,IDW_SR_72,medium,AE_10,0.5689890015893345
As,S5,high,AE_48,-1.7554034613753677
As,S5,high,dist_industry,1.5574607493099495
As,S5,high,AE_34,1.2910394738145818
As,S5,high,AE_12,1.2315705518035887
As,S5,high,AE_47,1.219406739325461
As,S5,high,AE_33,1.1459025529501903
As,S5,high,AE_26,-0.9535672587427693
As,S5,high,AE_44,-0.7732752616674313
As,S5,high,AE_17,-0.7066212651375261
As,S5,high,AE_09,0.5250367904583202
Pb,S14,low,dist_brick,-19.92365122103797
Pb,S14,low,AE_39,-9.907231386153256
Pb,S14,low,AE_32,7.48277861811039
Pb,S14,low,AE_13,-7.241934254099473
Pb,S14,low,AE_51,6.895483847326385
Pb,S14,low,AE_16,6.406764071867563
Pb,S14,low,AE_47,6.320984137860026
Pb,S14,low,dist_industry,4.485843935344466
Pb,S14,low,AE_05,3.994365942722932
Pb,S14,low,AE_40,3.1074292370571683
Pb,IDW_SR_41,medium,AE_47,-9.887157778845031
Pb,IDW_SR_41,medium,AE_13,-8.557973062824878
Pb,IDW_SR_41,medium,AE_16,6.261892765817373
Pb,IDW_SR_41,medium,dist_brick,-6.109911938287377
Pb,IDW_SR_41,medium,AE_55,-4.903743588695612
Pb,IDW_SR_41,medium,AE_53,4.246312633140731
Pb,IDW_SR_41,medium,AE_15,4.00331205836571
Pb,IDW_SR_41,medium,AE_44,3.8089062116601715
Pb,IDW_SR_41,medium,AE_56,3.6131736748861747
Pb,IDW_SR_41,medium,AE_08,-3.260321413740972
Pb,S12,high,dist_brick,21.976276091785337
Pb,S12,high,AE_51,10.290312751874588
Pb,S12,high,AE_13,10.089356606314063
Pb,S12,high,AE_47,7.040280315341706
Pb,S12,high,AE_55,6.866831114814231
Pb,S12,high,dist_industry,5.785511171085345
Pb,S12,high,AE_37,5.735581153577484
Pb,S12,high,AE_17,5.4822083853753325
Pb,S12,high,AE_39,5.1070797592109844
Pb,S12,high,AE_04,4.80121580959079
Cd,S6,low,num_industry,0.49323723251084245
Cd,S6,low,num_brick,-0.32842351920231316
Cd,S6,low,AE_44,-0.25126390064255555
Cd,S6,low,AE_11,0.23364013205462666
Cd,S6,low,AE_14,0.20969735035138196
Cd,S6,low,AE_08,-0.17424859635012588
Cd,S6,low,AE_45,-0.1691913255166014
Cd,S6,low,AE_39,-0.16656737909477476
Cd,S6,low,AE_54,0.16053033197090927
Cd,S6,low,AE_53,0.14448762333281182
Cd,IDW_SR_65,medium,AE_13,0.31631116072479576
Cd,IDW_SR_65,medium,AE_14,0.25500202721914134
Cd,IDW_SR_65,medium,AE_54,0.24168202550820447
Cd,IDW_SR_65,medium,AE_44,-0.23581533964623208
Cd,IDW_SR_65,medium,AE_11,0.20237537072074474
Cd,IDW_SR_65,medium,AE_46,0.20067120853218803
Cd,IDW_SR_65,medium,AE_00,0.19617410881132416
Cd,IDW_SR_65,medium,AE_39,-0.17850905195418285
Cd,IDW_SR_65,medium,num_industry,-0.16218047266284136
Cd,IDW_SR_65,medium,AE_20,-0.12975578142192173
Cd,S16,high,num_industry,0.47789223190959534
Cd,S16,high,AE_29,0.22973119453489835
Cd,S16,high,AE_53,0.21924125409470072
Cd,S16,high,dist_industry,0.21609819389089333
Cd,S16,high,AE_13,0.18748537445689034
Cd,S16,high,AE_51,0.16522774263620044
Cd,S16,high,AE_09,-0.14859435585216835
Cd,S16,high,AE_04,0.14085125639029508
Cd,S16,high,AE_19,0.1351210936639817
Cd,S16,high,AE_54,-0.11873565779066823
