Station,River,Season,Metal,Receptor,ParamSet,Conc_mg_per_L,ADD,HQ,ILCR
S1,Dhaleshwari,Rainy,Cr,adult,EPA,0.0635,0.0017397260273972605,0.5799086757990868,0.0008698630136986302
S1,Dhaleshwari,Rainy,Cr,child,EPA,0.0635,0.001014840182648402,0.33828006088280066,0.000507420091324201
S1,Dhaleshwari,Rainy,Ni,adult,EPA,0.301,0.008246575342465753,0.41232876712328764,0.006927123287671232
S1,Dhaleshwari,Rainy,Ni,child,EPA,0.301,0.004810502283105022,0.24052511415525113,0.004040821917808218
S1,Dhaleshwari,Rainy,Cu,adult,EPA,0.6950000000000001,0.01904109589041096,0.47602739726027404,0.0
S1,Dhaleshwari,Rainy,Cu,child,EPA,0.6950000000000001,0.01110730593607306,0.2776826484018265,0.0
S1,Dhaleshwari,Rainy,As,adult,EPA,0.1055,0.0028904109589041093,9.634703196347031,0.004335616438356164
S1,Dhaleshwari,Rainy,As,child,EPA,0.1055,0.0016860730593607305,5.620243531202435,0.0025291095890410957
S1,Dhaleshwari,Rainy,Cd,adult,EPA,0.005,0.000136986301369863,0.136986301369863,0.0008630136986301369
S1,Dhaleshwari,Rainy,Cd,child,EPA,0.005,7.990867579908676e-05,0.07990867579908675,0.0005034246575342466
S1,Dhaleshwari,Rainy,Pb,adult,EPA,0.32,0.008767123287671232,2.43531202435312,7.452054794520548e-05
S1,Dhaleshwari,Rainy,Pb,child,EPA,0.32,0.0051141552511415524,1.4205986808726534,4.34703196347032e-05
S1,Dhaleshwari,Rainy,Fe,adult,EPA,1.0865,0.029767123287671234,0.042524461839530334,0.0
S1,Dhaleshwari,Rainy,Fe,child,EPA,1.0865,0.017364155251141555,0.024805936073059365,0.0
S2,Dhaleshwari,Rainy,Cr,adult,EPA,0.0635,0.0017397260273972605,0.5799086757990868,0.0008698630136986302
S2,Dhaleshwari,Rainy,Cr,child,EPA,0.0635,0.001014840182648402,0.33828006088280066,0.000507420091324201
S2,Dhaleshwari,Rainy,Ni,adult,EPA,0.301,0.008246575342465753,0.41232876712328764,0.006927123287671232
S2,Dhaleshwari,Rainy,Ni,child,EPA,0.301,0.004810502283105022,0.24052511415525113,0.004040821917808218
S2,Dhaleshwari,Rainy,Cu,adult,EPA,0.6950000000000001,0.01904109589041096,0.47602739726027404,0.0
S2,Dhaleshwari,Rainy,Cu,child,EPA,0.6950000000000001,0.01110730593607306,0.2776826484018265,0.0
S2,Dhaleshwari,Rainy,As,adult,EPA,0.1055,0.0028904109589041093,9.634703196347031,0.004335616438356164
S2,Dhaleshwari,Rainy,As,child,EPA,0.1055,0.0016860730593607305,5.620243531202435,0.0025291095890410957
S2,Dhaleshwari,Rainy,Cd,adult,EPA,0.005,0.000136986301369863,0.136986301369863,0.0008630136986301369
S2,Dhaleshwari,Rainy,Cd,child,EPA,0.005,7.990867579908676e-05,0.07990867579908675,0.0005034246575342466
S2,Dhaleshwari,Rainy,Pb,adult,EPA,0.32,0.008767123287671232,2.43531202435312,7.452054794520548e-05
S2,Dhaleshwari,Rainy,Pb,child,EPA,0.32,0.0051141552511415524,1.4205986808726534,4.34703196347032e-05
S2,Dhaleshwari,Rainy,Fe,adult,EPA,1.0865,0.029767123287671234,0.042524461839530334,0.0
S2,Dhaleshwari,Rainy,Fe,child,EPA,1.0865,0.017364155251141555,0.024805936073059365,0.0
S3,Dhaleshwari,Rainy,Cr,adult,EPA,0.0635,0.0017397260273972605,0.5799086757990868,0.0008698630136986302
S3,Dhaleshwari,Rainy,Cr,child,EPA,0.0635,0.001014840182648402,0.33828006088280066,0.000507420091324201
S3,Dhaleshwari,Rainy,Ni,adult,EPA,0.301,0.008246575342465753,0.41232876712328764,0.006927123287671232
S3,Dhaleshwari,Rainy,Ni,child,EPA,0.301,0.004810502283105022,0.24052511415525113,0.004040821917808218
S3,Dhaleshwari,Rainy,Cu,adult,EPA,0.6950000000000001,0.01904109589041096,0.47602739726027404,0.0
S3,Dhaleshwari,Rainy,Cu,child,EPA,0.6950000000000001,0.01110730593607306,0.2776826484018265,0.0
S3,Dhaleshwari,Rainy,As,adult,EPA,0.1055,0.0028904109589041093,9.634703196347031,0.004335616438356164
S3,Dhaleshwari,Rainy,As,child,EPA,0.1055,0.0016860730593607305,5.620243531202435,0.0025291095890410957
S3,Dhaleshwari,Rainy,Cd,adult,EPA,0.005,0.000136986301369863,0.136986301369863,0.0008630136986301369
S3,Dhaleshwari,Rainy,Cd,child,EPA,0.005,7.990867579908676e-05,0.07990867579908675,0.0005034246575342466
S3,Dhaleshwari,Rainy,Pb,adult,EPA,0.32,0.008767123287671232,2.43531202435312,7.452054794520548e-05
S3,Dhaleshwari,Rainy,Pb,child,EPA,0.32,0.0051141552511415524,1.4205986808726534,4.34703196347032e-05
S3,Dhaleshwari,Rainy,Fe,adult,EPA,1.0865,0.029767123287671234,0.042524461839530334,0.0
