Metal,Season,Model,Point_LOOCV_R2,Bootstrap_median_R2,CI95_low,CI95_high,n_boot_used
Cd,Rainy,GP_pooled_log,0.516,-0.156,-0.436,0.571,300
Cd,Winter,GP_pooled_log,0.464,-0.187,-0.414,0.465,300
Pb,Rainy,GP_pooled_log_climate,0.194,-0.213,-0.446,0.15,300
Pb,Winter,GP_pooled_log_climate,0.014,-0.263,-0.54,0.238,300
