Metal,Metric,EPA_median,BD_median,Pct_change
Cr,HQ_ing,0.028910958904109586,0.02814,-2.6666666666666616
Cr,HQ_derm,0.005767736301369864,0.019346250000000002,235.421888053467
Cr,HQ_inh,0.0004459732451271533,0.0005426007815713698,21.666666666666657
Cr,ILCR_ing,4.336643835616438e-05,4.2210000000000004e-05,-2.6666666666666505
Cr,ILCR_derm,6.9212835616438375e-06,2.32155e-05,235.42188805346694
Cr,ILCR_inh,5.357030620467366e-07,6.517720588235294e-07,21.666666666666636
Cr,HQ_total,0.035124668450606605,0.04802885078157137,36.73823241665903
Cr,ILCR_total,5.0823424979854955e-05,6.607727205882352e-05,30.013418192525943
Ni,HQ_ing,0.0026999999999999993,0.002628,-2.6666666666666394
Ni,HQ_derm,3.9899999999999994e-05,0.0001338333333333333,235.42188805346694
Ni,HQ_inh,3.8549400342661334e-07,4.690177041690462e-07,21.666666666666657
Ni,ILCR_ing,4.5359999999999986e-05,4.4150399999999997e-05,-2.6666666666666394
Ni,ILCR_derm,9.04932e-06,3.03534e-05,235.421888053467
Ni,ILCR_inh,6.670588235294118e-09,8.115882352941176e-09,21.666666666666657
Ni,HQ_total,0.002740285494003426,0.0027623023510375024,0.8034512127388149
Ni,ILCR_total,5.4415990588235286e-05,7.451191588235293e-05,36.9301837141643
Cu,HQ_ing,0.0030570205479452054,0.0029755,-2.6666666666666727
Cu,HQ_derm,4.065837328767123e-05,0.00013637708333333332,235.421888053467
Cu,HQ_inh,4.4956184528605963e-07,5.46966911764706e-07,21.66666666666668
Cu,ILCR_ing,0.0,0.0,
Cu,ILCR_derm,0.0,0.0,
Cu,ILCR_inh,0.0,0.0,
Cu,HQ_total,0.003098128483078163,0.003112424050245098,0.46142589776430043
Cu,ILCR_total,0.0,0.0,
As,HQ_ing,0.06420091324200913,0.06248888888888889,-2.6666666666666616
As,HQ_derm,0.0006247844971600401,0.0020956639566395664,235.421888053467
As,HQ_inh,9.409944289917304e-06,1.144876555273272e-05,21.66666666666668
As,ILCR_ing,2.889041095890411e-05,2.8120000000000002e-05,-2.6666666666666616
As,ILCR_derm,2.8126548493150686e-07,9.43426e-07,235.421888053467
As,ILCR_inh,4.2769137792103137e-08,5.203578431372548e-08,21.666666666666657
As,HQ_total,0.0648351076834591,0.0645960016110812,-0.3687910468897049
As,ILCR_total,2.9214445581627722e-05,2.9115461784313725e-05,-0.3388179900160271
Cd,HQ_ing,0.004006849315068493,0.0039,-2.6666666666666616
Cd,HQ_derm,0.0015987328767123284,0.005362499999999999,235.421888053467
Cd,HQ_inh,5.89242546333602e-07,7.169117647058823e-07,21.666666666666636
Cd,ILCR_ing,2.5243150684931508e-05,2.4569999999999997e-05,-2.666666666666684
Cd,ILCR_derm,1.007201712328767e-07,3.378375e-07,235.42188805346706
Cd,ILCR_inh,3.712228041901692e-09,4.516544117647058e-09,21.666666666666657
Cd,HQ_total,0.005606171434327155,0.009263216911764707,65.23249458703835
Cd,ILCR_total,2.5347583084206284e-05,2.4912354044117646e-05,-1.7170435486601576
Pb,HQ_ing,0.03537290715372907,0.03442962962962963,-2.6666666666666727
Pb,HQ_derm,0.0009678027397260276,0.0032462222222222224,235.42188805346694
Pb,HQ_inh,5.320123067907112e-06,6.4728163992869874e-06,21.66666666666668
Pb,ILCR_ing,1.0824109589041096e-06,1.0535466666666666e-06,-2.6666666666666727
Pb,ILCR_derm,4.3188197260273985e-09,1.4486266666666668e-08,235.42188805346694
Pb,ILCR_inh,7.865269943593876e-10,9.569411764705883e-10,21.66666666666668
Pb,HQ_total,0.03634603001652301,0.03768232466825114,3.6765904037405095
Pb,ILCR_total,1.0875163056244964e-06,1.0689898745098039e-06,-1.7035543300708333
Fe,HQ_ing,0.06859099804305284,0.06676190476190477,-2.6666666666666505
Fe,HQ_derm,0.0013683904109589042,0.004589880952380951,235.42188805346692
Fe,HQ_inh,1.0086911476919536e-05,1.2272408963585436e-05,21.66666666666668
Fe,ILCR_ing,0.0,0.0,
Fe,ILCR_derm,0.0,0.0,
Fe,ILCR_inh,0.0,0.0,
Fe,HQ_total,0.06996947536548867,0.07136405812324931,1.9931302192505607
Fe,ILCR_total,0.0,0.0,
