Model,Metal,Season,R2,RMSE
RF_pooled_log,As,Winter,-0.547,7.98
RF_pooled_log,Pb,Rainy,-0.254,54.45
RF_pooled_log,Pb,Winter,-0.21,90.96
RF_pooled_log,Cu,Rainy,0.104,27.82
RF_pooled_log,Cu,Winter,0.153,46.5
RF_pooled_log,Ni,Rainy,-0.022,14.04
RF_pooled_log,Ni,Winter,-0.315,24.74
RF_pooled_log,Fe,Rainy,-0.289,9908.11
RF_pooled_log,Fe,Winter,-0.45,7882.18
GP_pooled_log_climate,Cd,Rainy,0.457,2.27
GP_pooled_log_climate,Cd,Winter,0.478,2.87
GP_pooled_log_climate,Cr,Rainy,-0.499,34.72
GP_pooled_log_climate,Cr,Winter,-0.404,43.7
GP_pooled_log_climate,As,Rainy,-0.944,6.44
GP_pooled_log_climate,As,Winter,-0.921,8.9
GP_pooled_log_climate,Pb,Rainy,0.498,34.44
GP_pooled_log_climate,Pb,Winter,0.506,58.12
GP_pooled_log_climate,Cu,Rainy,0.338,23.91
GP_pooled_log_climate,Cu,Winter,0.099,47.95
GP_pooled_log_climate,Ni,Rainy,-0.325,15.99
GP_pooled_log_climate,Ni,Winter,-0.251,24.12
GP_pooled_log_climate,Fe,Rainy,-0.293,9922.95
GP_pooled_log_climate,Fe,Winter,-0.188,7133.62
SVR_pooled_log_climate,Cd,Rainy,0.534,2.1
SVR_pooled_log_climate,Cd,Winter,0.508,2.79
SVR_pooled_log_climate,Cr,Rainy,-0.037,28.87
SVR_pooled_log_climate,Cr,Winter,0.0,36.88
SVR_pooled_log_climate,As,Rainy,-0.37,5.41
SVR_pooled_log_climate,As,Winter,-0.358,7.48
SVR_pooled_log_climate,Pb,Rainy,0.266,41.67
SVR_pooled_log_climate,Pb,Winter,0.079,79.33
SVR_pooled_log_climate,Cu,Rainy,0.329,24.08
SVR_pooled_log_climate,Cu,Winter,0.079,48.46
SVR_pooled_log_climate,Ni,Rainy,-0.219,15.34
SVR_pooled_log_climate,Ni,Winter,-0.215,23.78
SVR_pooled_log_climate,Fe,Rainy,-0.167,9425.83
SVR_pooled_log_climate,Fe,Winter,-0.117,6916.08
