Distribution,RI_mean,RI_median,RI_p5,RI_p95,RI_max
normal,253.5439359252831,248.56902506304368,78.60927963057907,448.73116204781013,736.8168626888877
lognormal,253.09909936317564,217.29345198022818,114.6615940903565,509.22439383530565,2706.3785500736008
