Metal,Season,Station,Sed_mg_per_kg,Water_mg_per_L,Kd_L_per_kg
Cu,Rainy,S3,49.47,0.6950000000000001,71.17985611510791
Cu,Rainy,S4,69.77,0.6950000000000001,100.38848920863308
Cu,Rainy,S5,73.19,1.16875,62.62245989304813
Cu,Rainy,S6,98.28,1.16875,84.08983957219252
Cu,Rainy,S7,96.72,0.8663333333333334,111.64293959215081
Cu,Rainy,S8,73.87,0.6950000000000001,106.28776978417265
Cu,Rainy,S9,87.2,1.16875,74.6096256684492
Cu,Rainy,S10,80.78,0.8663333333333334,93.24355521354366
Cu,Rainy,S11,141.4,0.114,1240.3508771929824
Cu,Rainy,S12,147.9,0.633,233.64928909952607
Cu,Rainy,S13,56.47,0.6950000000000001,81.25179856115108
Cu,Rainy,S14,53.71,1.16875,45.95508021390375
Cu,Rainy,S15,71.89,0.6950000000000001,103.43884892086331
Cu,Rainy,S16,85.56,1.16875,73.20641711229948
Cu,Rainy,S17,91.33,0.8663333333333334,105.42131589072719
As,Rainy,S1,7.96,0.1055,75.45023696682465
As,Rainy,S2,9.88,0.1055,93.64928909952607
As,Rainy,S3,15.48,0.1055,146.72985781990522
As,Rainy,S4,18.77,0.1055,177.91469194312796
As,Rainy,S5,20.96,0.07325,286.14334470989763
As,Rainy,S6,10.42,0.07325,142.25255972696246
As,Rainy,S7,19.88,0.1106666666666666,179.6385542168676
As,Rainy,S8,11.36,0.1055,107.67772511848341
As,Rainy,S9,10.78,0.07325,147.16723549488054
As,Rainy,S10,18.9,0.1106666666666666,170.78313253012058
As,Rainy,S11,9.88,0.057,173.33333333333334
As,Rainy,S12,7.98,0.161,49.56521739130435
As,Rainy,S13,6.67,0.1055,63.22274881516588
As,Rainy,S14,6.9,0.07325,94.19795221843005
As,Rainy,S15,15.71,0.1055,148.90995260663507
As,Rainy,S16,13.92,0.07325,190.03412969283278
As,Rainy,S17,15.84,0.1106666666666666,143.13253012048202
Cd,Rainy,S1,2.66,0.005,532.0
Cd,Rainy,S2,2.97,0.005,594.0
Cd,Rainy,S3,2.1,0.005,420.0
Cd,Rainy,S4,1.79,0.005,358.0
Cd,Rainy,S5,1.45,0.5325,2.723004694835681
Cd,Rainy,S6,0.82,0.5325,1.539906103286385
Cd,Rainy,S7,0.97,0.1226666666666666,7.907608695652177
Cd,Rainy,S8,2.17,0.005,434.0
Cd,Rainy,S9,3.6,0.5325,6.760563380281691
Cd,Rainy,S10,2.79,0.1226666666666666,22.744565217391315
Cd,Rainy,S11,5.56,0.005,1112.0
Cd,Rainy,S12,7.94,0.193,41.139896373057
Cd,Rainy,S13,1.96,0.005,392.0
Cd,Rainy,S14,1.15,0.5325,2.15962441314554
Cd,Rainy,S15,8.7,0.005,1739.9999999999998
Cd,Rainy,S16,10.16,0.5325,19.07981220657277
Cd,Rainy,S17,9.42,0.1226666666666666,76.7934782608696
Pb,Rainy,S1,50.73,0.32,158.53125
Pb,Rainy,S2,38.9,0.32,121.5625
Pb,Rainy,S3,32.79,0.32,102.46875
Pb,Rainy,S4,43.4,0.32,135.625
Pb,Rainy,S5,53.55,0.6174999999999999,86.72064777327935
Pb,Rainy,S6,37.88,0.6174999999999999,61.34412955465588
Pb,Rainy,S7,33.47,1.5586666666666666,21.473481608212147
Pb,Rainy,S8,98.1,0.32,306.5625
Pb,Rainy,S9,170.4,0.6174999999999999,275.9514170040486
Pb,Rainy,S10,108.6,1.5586666666666666,69.6749358426005
Pb,Rainy,S11,155.4,0.119,1305.8823529411766
