Metal,Tr,Background,Er_mean,Er_median,Er_p95,Contribution_pct,Distribution
Cd,0.6,0.3,9.346696743427817,8.91770264614263,21.042576882414206,3.6864209389658584,normal
Cr,26.0,90.0,17.45267172078512,17.175496366425413,34.05578945121678,6.883490096930675,normal
As,6.0,13.0,6.923537908679924,6.92923661847418,11.516536457276027,2.730705383827528,normal
Pb,31.0,20.0,175.01557982337079,170.53157843603697,366.2517497337432,69.02771276491745,normal
Cu,16.0,45.0,34.88731960003341,34.635693303371085,61.369357914634044,13.759871429271476,normal
Ni,16.0,68.0,9.918130128985585,9.873877304740798,17.99019819072793,3.91179938608682,normal
Cd,0.6,0.3,9.054947139987485,6.621989122480842,24.202372938867427,3.5776291431975458,lognormal
Cr,26.0,90.0,18.94935583912835,13.205170524245002,54.348558232860185,7.486931358826228,lognormal
As,6.0,13.0,6.9561616069088705,6.393056652490313,12.690113611480303,2.748394452770206,lognormal
Pb,31.0,20.0,173.40750031789736,136.25339249437076,423.43092783805025,68.5136773517603,lognormal
Cu,16.0,45.0,34.71790921759019,31.766650949133926,62.58132758012944,13.71712080562284,lognormal
Ni,16.0,68.0,10.013225241663434,8.686325205042042,20.991296404244963,3.9562468878229033,lognormal
