Metal,Season,Prox_only_R2,AE_only_R2,Both_R2,AE_share_pct,Prox_share_pct,AE_marginal,Prox_marginal
Cd,Rainy,0.506,0.394,0.642,61.4,78.8,0.136,0.248
Cd,Winter,0.427,0.483,0.622,77.7,68.7,0.195,0.139
Cr,Rainy,0.326,-0.172,-0.18,,,-0.506,-0.008
Cr,Winter,0.391,-0.175,-0.112,,,-0.503,0.063
As,Rainy,0.413,0.039,0.337,11.5,122.6,-0.076,0.298
As,Winter,0.406,0.14,0.347,40.2,117.0,-0.059,0.208
Pb,Rainy,0.54,0.076,0.355,21.5,152.0,-0.185,0.279
Pb,Winter,0.616,0.027,0.439,6.1,140.4,-0.177,0.413
Cu,Rainy,0.73,0.208,0.616,33.8,118.5,-0.114,0.408
Cu,Winter,0.49,-0.197,0.383,-51.4,128.0,-0.107,0.58
Ni,Rainy,0.591,0.189,0.525,35.9,112.5,-0.066,0.336
Ni,Winter,0.68,-0.011,0.561,-1.9,121.2,-0.119,0.572
Fe,Rainy,0.561,0.115,0.542,21.2,103.5,-0.019,0.427
Fe,Winter,0.553,-0.084,0.484,-17.4,114.2,-0.069,0.569
