Station,River,Season,Metal,Receptor,ParamSet,Conc_mg_per_kg,ADD_ing,ADD_derm,ADD_inh,HQ_ing,HQ_derm,HQ_inh,ILCR_ing,ILCR_derm,ILCR_inh,HQ_total,ILCR_total
S1,Dhaleshwari,Rainy,Cr,adult,EPA,92.69,0.00012697260273972604,5.066206849315069e-07,1.8672441579371474e-08,0.04232420091324201,0.008443678082191782,0.0006528825727052963,6.348630136986302e-05,1.013241369863014e-05,7.842425463336019e-07,0.05142076156813909,7.440295761482676e-05
S1,Dhaleshwari,Rainy,Cr,child,EPA,92.69,0.00029626940639269407,8.295543378995434e-07,1.0892257587966693e-08,0.09875646879756468,0.013825905631659056,0.0003808481674114228,0.00014813470319634703,1.6591086757990868e-05,4.574748186946011e-07,0.11296322259663516,0.0001651832647730325
S1,Dhaleshwari,Rainy,Ni,adult,EPA,19.18,2.6273972602739727e-05,1.0483315068493151e-07,3.863819500402901e-09,0.0013136986301369863,1.9413546423135464e-05,1.8756405341761655e-07,2.2070136986301372e-05,4.402992328767123e-06,3.2456083803384365e-09,0.0013332997406135395,2.6476374923448833e-05
S1,Dhaleshwari,Rainy,Ni,child,EPA,19.18,6.130593607305937e-05,1.716566210045662e-07,2.253894708568359e-09,0.0030652968036529683,3.178826314899374e-05,1.0941236449360965e-07,5.1496986301369864e-05,7.20957808219178e-06,1.8932715551974216e-09,0.0030971944791664554,5.870845765511684e-05
S1,Dhaleshwari,Rainy,Cu,adult,EPA,40.34,5.5260273972602745e-05,2.2048849315068493e-07,8.126510878323932e-09,0.0013815068493150686,1.837404109589041e-05,2.031627719580983e-07,0.0,0.0,0.0,0.001400084053182917,0.0
S1,Dhaleshwari,Rainy,Cu,child,EPA,40.34,0.0001289406392694064,3.61033789954338e-07,4.740464679022294e-09,0.00322351598173516,3.0086149162861502e-05,1.1851161697555735e-07,0.0,0.0,0.0,0.0032537206425149972,0.0
S1,Dhaleshwari,Rainy,As,adult,EPA,7.96,1.0904109589041095e-05,4.350739726027397e-08,1.603545527800161e-09,0.03634703196347032,0.0003537186769127965,5.32739378006698e-06,1.6356164383561644e-05,1.5923707397260273e-07,2.421353746978243e-08,0.03670607803416318,1.6539614995004028e-05
S1,Dhaleshwari,Rainy,As,child,EPA,7.96,2.544292237442922e-05,7.124018264840183e-08,9.354015578834272e-10,0.08480974124809741,0.0005791884768162751,3.1076463717057384e-06,3.816438356164383e-05,2.6073906849315073e-07,1.412456352403975e-08,0.0853920373712854,3.8439247193661024e-05
S1,Dhaleshwari,Rainy,Cd,adult,EPA,2.66,3.6438356164383563e-06,1.4538904109589041e-08,5.358581788879935e-10,0.0036438356164383563,0.001453890410958904,5.358581788879935e-07,2.2956164383561645e-05,9.159509589041095e-08,3.375906526994359e-09,0.005098261885576148,2.3051135385979053e-05
S1,Dhaleshwari,Rainy,Cd,child,EPA,2.66,8.50228310502283e-06,2.3806392694063926e-08,3.125839376846629e-10,0.00850228310502283,0.0023806392694063925,3.1258393768466287e-07,5.3564383561643836e-05,1.4998027397260273e-07,1.969278807413376e-09,0.010883234958366909,5.3716333114423854e-05
S1,Dhaleshwari,Rainy,Pb,adult,EPA,50.73,6.94931506849315e-05,2.772776712328767e-07,1.021958098307816e-08,0.019303652968036527,0.0005281479452054795,2.903290052010841e-06,5.906917808219177e-07,2.356860205479452e-09,4.292224012892827e-10,0.01983470420329402,5.934778634286865e-07
S1,Dhaleshwari,Rainy,Pb,child,EPA,50.73,0.0001621506849315068,4.540219178082192e-07,5.961422240128927e-09,0.04504185692541856,0.0008648036529680367,1.6935858636729906e-06,1.378280821917808e-06,3.859186301369864e-09,2.5037973408541496e-10,0.04590835416425027,1.3823903879532634e-06
S1,Dhaleshwari,Rainy,Fe,adult,EPA,26700.0,0.036575342465753426,0.0001459356164383562,5.378726833199033e-06,0.05225048923679061,0.0010423972602739728,7.683895475998619e-06,0.0,0.0,0.0,0.05330057039254058,0.0
S1,Dhaleshwari,Rainy,Fe,child,EPA,26700.0,0.08534246575342466,0.00023895890410958903,3.137590652699436e-06,0.1219178082191781,0.0017068493150684929,4.482272360999195e-06,0.0,0.0,0.0,0.12362913980660759,0.0
S2,Dhaleshwari,Rainy,Cr,adult,EPA,88.4,0.00012109589041095888,4.831726027397261e-07,1.7808219178082192e-08,0.04036529680365296,0.008052876712328768,0.0006226650062266501,6.054794520547944e-05,9.663452054794521e-06,7.47945205479452e-07,0.04904083852220838,7.095934246575341e-05
S2,Dhaleshwari,Rainy,Cr,child,EPA,88.4,0.0002825570776255707,7.911598173515983e-07,1.0388127853881279e-08,0.0941856925418569,0.013185996955859971,0.00036322125363221256,0.00014127853881278535,1.5823196347031964e-05,4.363013698630137e-07,0.10773491075134907,0.00015753803652968033
S2,Dhaleshwari,Rainy,Ni,adult,EPA,17.21,2.3575342465753422e-05,9.406561643835617e-08,3.4669621273166807e-09,0.0011787671232876711,1.7419558599695586e-05,1.6829913239401362e-07,1.9803287671232874e-05,3.9507558904109594e-06,2.9122481869460117e-09,0.0011963549810197608,2.3756955809830776e-05
S2,Dhaleshwari,Rainy,Ni,child,EPA,17.21,5.500913242009132e-05,1.540255707762557e-07,2.0223945742680637e-09,0.002750456621004566,2.852325384745476e-05,9.817449389650795e-08,4.620767123287671e-05,6.46907397260274e-06,1.6988114423851735e-09,0.002779078049345917,5.267844401692183e-05
S2,Dhaleshwari,Rainy,Cu,adult,EPA,41.56,5.693150684931506e-05,2.2715671232876714e-07,8.372280419016922e-09,0.0014232876712328764,1.892972602739726e-05,2.0930701047542307e-07,0.0,0.0,0.0,0.001442426704270749,0.0
S2,Dhaleshwari,Rainy,Cu,child,EPA,41.56,0.0001328401826484018,3.719525114155251e-07,4.883830244426538e-09,0.0033210045662100452,3.099604261796042e-05,1.2209575611066345e-07,0.0,0.0,0.0,0.0033521227045841162,0.0
S2,Dhaleshwari,Rainy,As,adult,EPA,9.88,1.3534246575342466e-05,5.400164383561645e-08,1.990330378726834e-09,0.04511415525114156,0.00043903775476110933,6.612393284806758e-06,2.0301369863013698e-05,1.9764601643835623e-07,3.0053988718775194e-08,0.04555980539918748,2.052906986817083e-05
S2,Dhaleshwari,Rainy,As,child,EPA,9.88,3.157990867579909e-05,8.842374429223745e-08,1.1610260542573198e-09,0.10526636225266364,0.0007188922300181906,3.857229416137275e-06,4.736986301369864e-05,3.236309041095891e-07,1.753149341928553e-08,0.10598911171209796,4.7711025411227516e-05
S2,Dhaleshwari,Rainy,Cd,adult,EPA,2.97,4.068493150684932e-06,1.623328767123288e-08,5.98307816277196e-10,0.004068493150684932,0.001623328767123288,5.98307816277196e-07,2.563150684931507e-05,1.0226971232876713e-07,3.7693392425463345e-09,0.005692420225624497,2.5737545900886386e-05
S2,Dhaleshwari,Rainy,Cd,child,EPA,2.97,9.493150684931508e-06,2.658082191780822e-08,3.490128928283643e-10,0.009493150684931508,0.0026580821917808217,3.490128928283643e-07,5.98068493150685e-05,1.6745917808219176e-07,2.198781224818695e-09,0.012151581889605157,5.997650727437551e-05
S2,Dhaleshwari,Rainy,Pb,adult,EPA,38.9,5.3287671232876715e-05,2.1261780821917814e-07,7.836422240128929e-09,0.01480213089802131,0.0004049863013698631,2.226256318218446e-06,4.529452054794521e-07,1.8072513698630144e-09,3.29129734085415e-10,0.01520934345570939,4.550815865834005e-07
S2,Dhaleshwari,Rainy,Pb,child,EPA,38.9,0.000124337899543379,3.481461187214611e-07,4.571246306741875e-09,0.03453830542871639,0.0006631354642313546,1.29864951896076e-06,1.0568721461187216e-06,2.9592420091324198e-09,1.9199234488315878e-10,0.03520273954246671,1.0600233804727373e-06
S2,Dhaleshwari,Rainy,Fe,adult,EPA,34970.0,0.0479041095890411,0.000191137397260274,7.044721998388397e-06,0.06843444227005872,0.0013652671232876712,1.0063888569126281e-05,0.0,0.0,0.0,0.06980977328191552,0.0
S2,Dhaleshwari,Rainy,Fe,child,EPA,34970.0,0.11177625570776256,0.0003129735159817351,4.109421165726565e-06,0.15968036529680368,0.0022355251141552507,5.870601665323665e-06,0.0,0.0,0.0,0.16192176101262426,0.0
S3,Dhaleshwari,Rainy,Cr,adult,EPA,66.92,9.167123287671234e-05,3.6576821917808214e-07,1.348106365834005e-08,0.030557077625570778,0.006096136986301369,0.000471365862179722,4.583561643835617e-05,7.3153643835616425e-06,5.662046736502821e-07,0.03712458047405187,5.371718549556809e-05
S3,Dhaleshwari,Rainy,Cr,child,EPA,66.92,0.00021389954337899545,5.989187214611872e-07,7.863953800698362e-09,0.07129984779299849,0.009981978691019787,0.00027496341960483783,0.00010694977168949773,1.1978374429223745e-05,3.302860596293312e-07,0.08155678990362311,0.00011925843217835081
S3,Dhaleshwari,Rainy,Ni,adult,EPA,37.52,5.139726027397261e-05,2.0507506849315072e-07,7.558420628525385e-09,0.0025698630136986307,3.797686453576865e-05,3.6691362274395074e-07,4.317369863013699e-05,8.61315287671233e-06,6.349073327961323e-09,0.0026082067918571433,5.179320058017728e-05
S3,Dhaleshwari,Rainy,Ni,child,EPA,37.52,0.00011992694063926941,3.3579543378995445e-07,4.409078699973141e-09,0.005996347031963471,6.21843395907323e-05,2.140329466006379e-07,0.0001007386301369863,1.4103408219178086e-05,3.703626107977438e-09,0.0060587454045008034,0.00011484574198227236
S3,Dhaleshwari,Rainy,Cu,adult,EPA,49.47,6.776712328767123e-05,2.7039082191780826e-07,9.965753424657535e-09,0.0016941780821917807,2.2532568493150687e-05,2.4914383561643835e-07,0.0,0.0,0.0,0.001716959794520548,0.0
S3,Dhaleshwari,Rainy,Cu,child,EPA,49.47,0.00015812328767123287,4.427452054794521e-07,5.8133561643835615e-09,0.003953082191780821,3.689543378995434e-05,1.4533390410958904e-07,0.0,0.0,0.0,0.0039901229594748846,0.0
S3,Dhaleshwari,Rainy,As,adult,EPA,15.48,2.1205479452054794e-05,8.460986301369863e-08,3.118452860596294e-09,0.07068493150684932,0.0006878850651520214,1.0360308506964432e-05,3.180821917808219e-05,3.09672098630137e-07,4.7088638195004034e-08,0.07138317688050831,3.216497991490733e-05
S3,Dhaleshwari,Rainy,As,child,EPA,15.48,4.947945205479452e-05,1.3854246575342468e-07,1.8190975020145048e-09,0.1649315068493151,0.0011263615101904446,6.043513295729252e-06,7.421917808219178e-05,5.070654246575343e-07,2.7468372280419023e-08,0.16606391187280126,7.475371187912974e-05
S3,Dhaleshwari,Rainy,Cd,adult,EPA,2.1,2.8767123287671228e-06,1.1478082191780822e-08,4.2304593070104753e-10,0.0028767123287671225,0.001147808219178082,4.2304593070104753e-07,1.8123287671232873e-05,7.231191780821918e-08,2.6651893634165992e-09,0.004024943593875906,1.8198264778404508e-05
