Metal,Season,v2_per_season_best,SVR_pooled_log,GP_pooled_log,MultiTask_DL_pooled_log,XGBoost_pooled_log,RF_pooled_log,GP_pooled_log_climate,SVR_pooled_log_climate,Winner_Model,Winner_R2,Delta_vs_v2
Cd,Rainy,0.607,0.564,0.623,0.417,0.216,0.397,0.457,0.534,GP_pooled_log,0.623,0.016
Cd,Winter,0.527,0.498,0.632,0.251,0.261,0.27,0.478,0.508,GP_pooled_log,0.632,0.105
Cr,Rainy,-0.089,-0.033,-0.664,-0.096,-0.74,-0.354,-0.499,-0.037,SVR_pooled_log,-0.033,0.056
Cr,Winter,-0.028,-0.026,-0.421,-0.201,-0.612,-0.38,-0.404,0.0,SVR_pooled_log_climate,0.0,0.028
As,Rainy,-0.268,-0.425,-0.629,-0.155,-1.105,-0.573,-0.944,-0.37,MultiTask_DL_pooled_log,-0.155,0.113
As,Winter,-0.237,-0.366,-0.582,-0.273,-0.847,-0.547,-0.921,-0.358,v2_per_season_best,-0.237,0.0
Pb,Rainy,0.112,0.241,0.478,0.208,-0.447,-0.254,0.498,0.266,GP_pooled_log_climate,0.498,0.386
Pb,Winter,-0.015,0.046,0.486,-0.05,-0.47,-0.21,0.506,0.079,GP_pooled_log_climate,0.506,0.521
Cu,Rainy,0.243,0.323,0.242,0.079,-0.086,0.104,0.338,0.329,GP_pooled_log_climate,0.338,0.095
Cu,Winter,0.21,0.078,0.081,-0.004,-0.034,0.153,0.099,0.079,v2_per_season_best,0.21,0.0
Ni,Rainy,0.361,-0.224,-0.404,-0.174,-0.478,-0.022,-0.325,-0.219,v2_per_season_best,0.361,0.0
Ni,Winter,-0.071,-0.233,-0.332,-0.224,-0.534,-0.315,-0.251,-0.215,v2_per_season_best,-0.071,0.0
Fe,Rainy,-0.081,-0.15,-0.176,-0.226,-0.978,-0.289,-0.293,-0.167,v2_per_season_best,-0.081,0.0
Fe,Winter,-0.146,-0.139,-0.14,-0.183,-0.923,-0.45,-0.188,-0.117,SVR_pooled_log_climate,-0.117,0.029
