River,Season,Cr_Igeo_max,Cr_EF_min,Cr_EF_max,Ni_Igeo_max,Ni_EF_min,Ni_EF_max,Cu_Igeo_max,Cu_EF_min,Cu_EF_max,As_Igeo_max,As_EF_min,As_EF_max,Cd_Igeo_max,Cd_EF_min,Cd_EF_max,Pb_Igeo_max,Pb_EF_min,Pb_EF_max,PLI_max,mCd_max
Balu,Rainy,-3.70247160801233,0.0810431532449881,0.09165822357311718,-1.2457037942658737,0.40792537023863423,0.4449150888151474,0.06452522404309609,1.103304451240231,1.3037508443093548,-0.546827371834385,0.6981305519149557,0.8972671515414676,1.8598223419517395,2.791497804795677,3.829425756031261,0.3362332673120158,1.3319491389023015,1.4478483442649177,1.026504944850854,1.7745124506004963
Balu,Winter,-2.9800477423361422,0.10370137359756736,0.14355074049755598,-0.8390615080356848,0.39684632528628705,0.6331498582025956,0.5592651917187503,1.576247537754432,1.599131452937681,-0.24087799218162648,0.8416092142700811,0.9183686843721445,2.096861539252589,3.074866310160428,4.845152112059532,1.169362437566637,2.27711461730766,2.5474306251511902,1.4150707984808073,2.3368426599892165
Buriganga,Rainy,-0.6368600795726749,0.44621857496417866,0.4733802716734229,-0.33529123676405503,0.5730064104163028,0.5834335804329768,1.4535907400482369,2.016037266197283,2.1181451087664454,-0.028912691915238712,0.5827288244079369,0.7928599341260539,3.8781076949794895,8.32877426077895,10.823080387833963,2.642032686215056,4.410686740297402,4.594679572838646,3.2393850630976564,6.47802493675086
Buriganga,Winter,-0.19295044254103597,0.5945968412302576,0.6767065271549576,0.1687876777406137,0.8695496612918614,0.8741391202843953,2.273571145262011,2.8259282349681354,3.7402217239661186,0.34577483684173027,0.7152199444800342,1.0933603491271822,4.07483523292259,11.31199778331948,13.035625311410065,3.3833708230003148,7.821630135188346,8.071984894972857,4.544272271559981,8.761414055232644
Dhaleshwari,Rainy,-0.5424738022405755,0.3985213896066609,0.8871702039117768,-0.9099634296581415,0.14819946121282096,0.7659929521831368,0.8639384504239717,0.7592857369809043,1.8580774396739381,1.0561430780375338,0.9215423895656454,2.6778891006173207,2.4594316186372973,1.3537180591444158,6.364960466084062,0.9099246556981517,0.9318379896383091,2.3,1.7964336996929273,2.3784072326205585
Dhaleshwari,Winter,-0.3410226690655212,0.627067716734668,0.9264323507180648,-0.24886147471352668,0.2790242301591643,1.0380346724073666,1.8084231894450953,1.4951194184839045,3.4397792326912735,1.4928705117744425,1.0617103984450922,3.3655311426354877,3.0362753863915497,2.23364752927735,9.626795162509449,1.8936687649402324,1.26187254769314,4.360365198711063,2.64507589799406,3.8490852441387156
Shitalakshya,Rainy,-1.3939614284785966,0.2853120243531202,0.456152927120669,-0.47763077326370723,0.2666933862196209,0.9867137785234331,0.7581294260113735,1.4917090686009165,2.323764325855126,0.6520766965796931,1.305283757338552,2.1590715139102237,4.233797184608697,17.783866057838665,23.967874684720567,1.7887223388595754,3.0084272063725406,4.601060596533149,2.7383791799114072,6.547904824117031
Shitalakshya,Winter,-0.7543465929372776,0.46562072336265886,0.6112406189812047,0.014659178189544457,0.410970228027114,1.2738794140372958,1.6484654430273142,2.0087002722985985,4.049326095095469,1.1108457686882902,1.9903382907415166,2.7896075127917137,4.789110947971072,17.394733346616192,30.377719539082324,2.8858140915101504,3.5045930726397585,9.546887623401446,4.233725584906073,9.976266328498552
Turag,Rainy,-3.1041229430465664,0.05644078446935873,0.08798732943469785,-0.5846555769797819,0.40282947630258076,0.4564915887889925,0.6913687277260956,1.0240985106547167,1.1630712131755974,0.9068905956085184,0.77026791927627,1.2836094850679631,2.736965594166206,3.0403265107212474,4.801670146137788,2.5798915111737344,2.6042243767313016,4.306339962641467,1.8598270067390046,3.9958836112147984
Turag,Winter,-2.891741959174069,0.0731237251178167,0.10514715122269974,0.27356879400470097,0.5946896059407453,0.9482356583746965,0.9681248942288996,1.3299512320930342,1.5346116921833155,0.9790962337497537,0.9708130028758846,1.4350588832283284,3.2507370470304093,3.9096386954584887,7.466777828305795,3.133528916703408,5.563465532368588,6.884145903640411,2.718648162256121,5.749554018764404
