scenario,distribution,metal,Tr,Er_mean,contrib_pct_of_RI
primary_only,lognormal,Cd,30,134.21623746453957,8.148855609764295
primary_only,lognormal,As,10,150.6424742332549,9.579820043858799
primary_only,lognormal,Cu,5,496.0107730644407,30.451909382504628
primary_only,lognormal,Pb,5,556.1422168267538,30.93358982700393
primary_only,lognormal,Ni,5,211.27661748157433,13.138818402213118
primary_only,lognormal,Cr,2,128.60742437663848,7.747006734655199
primary_only,normal,Cd,30,139.5510995602484,8.608111420803857
primary_only,normal,As,10,148.88572205708923,9.500265570017339
primary_only,normal,Cu,5,494.35197439561,29.6947948240284
primary_only,normal,Pb,5,563.0834786250831,31.215230221424132
primary_only,normal,Ni,5,212.17360635546436,13.322790582969542
primary_only,normal,Cr,2,121.0533957864305,7.65880738075684
literature_only,lognormal,Cd,30,210.1213858000673,12.217015536300002
literature_only,lognormal,As,10,186.83004699406288,10.951440154720093
literature_only,lognormal,Cu,5,270.01472603182975,15.154615959207662
literature_only,lognormal,Pb,5,211.5889516381265,11.744949603260872
literature_only,lognormal,Ni,5,231.29188132005171,13.363635892002437
literature_only,lognormal,Cr,2,1574.8763547274402,36.56834285450884
literature_only,normal,Cd,30,209.37854889420154,10.576336994452149
literature_only,normal,As,10,185.93341428642654,9.48435470634427
literature_only,normal,Cu,5,271.50343609327035,13.181596363532785
literature_only,normal,Pb,5,213.26348034305653,10.543338600154035
literature_only,normal,Ni,5,231.51142052214308,11.596437937548338
literature_only,normal,Cr,2,1384.0087541668543,44.61793539796854
pooled,lognormal,Cd,30,165.61459201047592,10.08052812383483
pooled,lognormal,As,10,161.99784474262265,10.357522503143812
pooled,lognormal,Cu,5,378.66028094690756,22.604736952161666
pooled,lognormal,Pb,5,370.76703259959487,20.595396556053796
pooled,lognormal,Ni,5,222.4386177937401,13.973167460007826
pooled,lognormal,Cr,2,664.926440275031,22.38864840479798
pooled,normal,Cd,30,163.06393168183516,8.734006890465269
pooled,normal,As,10,162.13762445901492,8.890929483668316
pooled,normal,Cu,5,380.47841793711706,19.50190418075815
pooled,normal,Pb,5,397.73079022410644,19.217989142335043
pooled,normal,Ni,5,220.90191740278615,11.903596389190833
pooled,normal,Cr,2,884.9023380412355,31.751573913582355
