Metal,Season,Mean,Median,Min,Max
Cr,Rainy,555.6326650956661,186.40926640926642,19.62962962962963,2567.9310344827586
Cr,Winter,699.5257910823539,247.9710144927536,21.309586170770036,3731.9999999999995
Ni,Rainy,155.51529615068466,98.77076411960134,24.125874125874123,561.123595505618
Ni,Winter,306.6697673533729,222.61235955056182,49.91747936984246,1234.9999999999998
Cu,Rainy,159.12822874455625,84.08983957219252,45.95508021390375,1240.3508771929824
Cu,Winter,194.3927915626189,130.55060100814268,93.77725397760753,895.8080808080808
As,Rainy,140.57661716498703,146.72985781990522,49.56521739130435,286.14334470989763
As,Winter,154.80379655443008,150.83573487031703,43.17002881844381,336.7359050445104
Cd,Rainy,338.99108584382896,76.7934782608696,1.539906103286385,1739.9999999999998
Cd,Winter,378.8067299935759,112.38938053097344,2.6869682042095833,2366.6666666666665
Pb,Rainy,197.17719865837236,112.43749999999999,21.473481608212147,1305.8823529411766
Pb,Winter,259.36975967937275,200.67444876783398,34.767076307516426,819.9367088607596
Fe,Rainy,25400.819090552195,22823.198374237927,11282.012880035943,42564.87025948104
Fe,Winter,23247.4036444636,22594.21560035057,10703.980764092974,38746.713409290096
