Station,River,Season,Metal,Conc_mg_per_kg,CF,Igeo,EF
S1,Dhaleshwari,Rainy,Cr,92.69,1.0298888888888889,-0.5424738022405755,0.8871702039117768
S2,Dhaleshwari,Rainy,Cr,88.4,0.9822222222222223,-0.6108411325467616,0.6460140437835604
S3,Dhaleshwari,Rainy,Cr,66.92,0.7435555555555555,-1.012450056787203,0.7134659064571455
S4,Dhaleshwari,Rainy,Cr,55.56,0.6173333333333334,-1.280840902844163,0.5918577184938169
S5,Dhaleshwari,Rainy,Cr,64.5,0.7166666666666667,-1.0655883416275767,0.46920960242907295
S6,Dhaleshwari,Rainy,Cr,60.35,0.6705555555555556,-1.1615337311831717,0.3985213896066609
S7,Dhaleshwari,Rainy,Cr,69.37,0.7707777777777778,-0.9605756175814631,0.4077251354390269
S8,Turag,Rainy,Cr,15.7,0.17444444444444443,-3.1041229430465664,0.08798732943469785
S9,Turag,Rainy,Cr,12.74,0.14155555555555555,-3.405522224569255,0.067970308513106
S10,Turag,Rainy,Cr,11.13,0.12366666666666667,-3.600433909483596,0.05644078446935873
S11,Buriganga,Rainy,Cr,74.47,0.8274444444444444,-0.8582281446132617,0.44621857496417866
S12,Buriganga,Rainy,Cr,86.82,0.9646666666666666,-0.6368600795726749,0.4733802716734229
S13,Balu,Rainy,Cr,10.37,0.11522222222222221,-3.70247160801233,0.0810431532449881
S14,Balu,Rainy,Cr,9.44,0.10488888888888888,-3.8380287374637145,0.09165822357311718
S15,Shitalakshya,Rainy,Cr,51.37,0.5707777777777777,-1.3939614284785966,0.4263685900905777
S16,Shitalakshya,Rainy,Cr,40.75,0.4527777777777778,-1.7280874428197532,0.2853120243531202
S17,Shitalakshya,Rainy,Cr,44.82,0.498,-1.5907448533151622,0.456152927120669
S1,Dhaleshwari,Rainy,Ni,19.18,0.40808510638297874,-1.8780205371553875,0.3515339867718544
S2,Dhaleshwari,Rainy,Ni,17.21,0.36617021276595746,-2.0343761601333146,0.2408325677328288
S3,Dhaleshwari,Rainy,Ni,37.52,0.7982978723404256,-0.9099634296581415,0.7659929521831368
S4,Dhaleshwari,Rainy,Ni,26.08,0.5548936170212766,-1.4346793879424407,0.5319947141096024
S5,Dhaleshwari,Rainy,Ni,30.62,0.6514893617021277,-1.2031489746737305,0.4265372991502686
S6,Dhaleshwari,Rainy,Ni,11.72,0.2493617021276596,-2.5886506877512705,0.14819946121282096
S7,Dhaleshwari,Rainy,Ni,14.95,0.3180851063829787,-2.237477773088051,0.16826029086496114
S8,Turag,Rainy,Ni,40.76,0.8672340425531915,-0.7904692060077044,0.43742067935796936
S9,Turag,Rainy,Ni,39.43,0.8389361702127659,-0.8383295470657017,0.40282947630258076
S10,Turag,Rainy,Ni,47.01,1.0002127659574467,-0.5846555769797819,0.4564915887889925
S11,Buriganga,Rainy,Ni,49.94,1.0625531914893616,-0.49742743624530605,0.5730064104163028
S12,Buriganga,Rainy,Ni,55.88,1.188936170212766,-0.33529123676405503,0.5834335804329768
S13,Balu,Rainy,Ni,29.73,0.6325531914893617,-1.2457037942658737,0.4449150888151474
S14,Balu,Rainy,Ni,21.94,0.4668085106382979,-1.6840597317703252,0.40792537023863423
S15,Shitalakshya,Rainy,Ni,16.78,0.35702127659574473,-2.070880541733695,0.2666933862196209
S16,Shitalakshya,Rainy,Ni,46.14,0.9817021276595744,-0.6116052534905355,0.6186068201690469
S17,Shitalakshya,Rainy,Ni,50.63,1.0772340425531914,-0.47763077326370723,0.9867137785234331
S1,Dhaleshwari,Rainy,Cu,40.34,1.1205555555555557,-0.4207483233252317,0.9652725759467333
S2,Dhaleshwari,Rainy,Cu,41.56,1.1544444444444446,-0.3777637530339814,0.7592857369809043
S3,Dhaleshwari,Rainy,Cu,49.47,1.3741666666666665,-0.12640550777957,1.3185579196217492
S4,Dhaleshwari,Rainy,Cu,69.77,1.9380555555555554,0.3696474263660545,1.8580774396739381
S5,Dhaleshwari,Rainy,Cu,73.19,2.0330555555555554,0.43868713828312844,1.3310639845652656
S6,Dhaleshwari,Rainy,Cu,98.28,2.73,0.8639384504239717,1.6224806201550386
S7,Dhaleshwari,Rainy,Cu,96.72,2.6866666666666665,0.8408548373109302,1.4211898190739034
S8,Turag,Rainy,Cu,73.87,2.0519444444444446,0.45202917037512935,1.034971978557505
S9,Turag,Rainy,Cu,87.2,2.4222222222222225,0.6913687277260956,1.1630712131755974
S10,Turag,Rainy,Cu,80.78,2.243888888888889,0.5810387387648933,1.0240985106547167
S11,Buriganga,Rainy,Cu,141.4,3.927777777777778,1.388750807758568,2.1181451087664454
S12,Buriganga,Rainy,Cu,147.9,4.108333333333333,1.4535907400482369,2.016037266197283
S13,Balu,Rainy,Cu,56.47,1.5686111111111112,0.06452522404309609,1.103304451240231
S14,Balu,Rainy,Cu,53.71,1.4919444444444445,-0.007768685782659251,1.3037508443093548
S15,Shitalakshya,Rainy,Cu,71.89,1.9969444444444444,0.41283169643760587,1.4917090686009165
S16,Shitalakshya,Rainy,Cu,85.56,2.376666666666667,0.6639770752268511,1.4976255707762556
S17,Shitalakshya,Rainy,Cu,91.33,2.5369444444444444,0.7581294260113735,2.323764325855126
S1,Dhaleshwari,Rainy,As,7.96,1.1845238095238095,-0.34065530295626767,1.0203763153201357
S2,Dhaleshwari,Rainy,As,9.88,1.4702380952380953,-0.028912691915238712,0.9669853071340062
S3,Dhaleshwari,Rainy,As,15.48,2.303571428571429,0.618909832644494,2.210352225996782
S4,Dhaleshwari,Rainy,As,18.77,2.793154761904762,0.8969330113309578,2.6778891006173207
