Station,River,Season,Metal,Conc_mg_per_kg,CF,Igeo,EF
S5,Dhaleshwari,Rainy,As,20.96,3.119047619047619,1.0561430780375338,2.0420750138939723
S6,Dhaleshwari,Rainy,As,10.42,1.5505952380952381,0.04785963877859159,0.9215423895656454
S7,Dhaleshwari,Rainy,As,19.88,2.9583333333333335,0.9798221180623696,1.5648957375038333
S8,Turag,Rainy,As,11.36,1.6904761904761905,0.1724671960047656,0.8526524644945698
S9,Turag,Rainy,As,10.78,1.6041666666666667,0.09686153925258897,0.77026791927627
S10,Turag,Rainy,As,18.9,2.8125,0.9068905956085184,1.2836094850679631
S11,Buriganga,Rainy,As,9.88,1.4702380952380953,-0.028912691915238712,0.7928599341260539
S12,Buriganga,Rainy,As,7.98,1.1875,-0.33703498727757053,0.5827288244079369
S13,Balu,Rainy,As,6.67,0.9925595238095238,-0.5957369723153315,0.6981305519149557
S14,Balu,Rainy,As,6.9,1.0267857142857144,-0.546827371834385,0.8972671515414676
S15,Shitalakshya,Rainy,As,15.71,2.337797619047619,0.6401875417942798,1.7463249508962406
S16,Shitalakshya,Rainy,As,13.92,2.0714285714285716,0.4656635723488118,1.305283757338552
S17,Shitalakshya,Rainy,As,15.84,2.357142857142857,0.6520766965796931,2.1590715139102237
S1,Dhaleshwari,Rainy,Cd,2.66,7.388888888888889,2.300394933337721,6.364960466084062
S2,Dhaleshwari,Rainy,Cd,2.97,8.25,2.4594316186372973,5.426079496711467
S3,Dhaleshwari,Rainy,Cd,2.1,5.833333333333334,1.959358015502654,5.597274370741205
S4,Dhaleshwari,Rainy,Cd,1.79,4.972222222222222,1.728928275100788,4.767032559862906
S5,Dhaleshwari,Rainy,Cd,1.45,4.027777777777778,1.4250215878514658,2.6370307113261853
S6,Dhaleshwari,Rainy,Cd,0.82,2.2777777777777777,0.602664502454615,1.3537180591444158
S7,Dhaleshwari,Rainy,Cd,0.97,2.6944444444444446,0.8450253400236589,1.4253040989471535
S8,Turag,Rainy,Cd,2.17,6.027777777777778,2.006663730281011,3.0403265107212474
S9,Turag,Rainy,Cd,3.6,10.0,2.736965594166206,4.801670146137788
S10,Turag,Rainy,Cd,2.79,7.75,2.369233809665719,3.537057247742832
S11,Buriganga,Rainy,Cd,5.56,15.444444444444445,3.3640535705600385,8.32877426077895
S12,Buriganga,Rainy,Cd,7.94,22.055555555555557,3.8781076949794895,10.823080387833963
S13,Balu,Rainy,Cd,1.96,5.444444444444445,1.8598223419517395,3.829425756031261
S14,Balu,Rainy,Cd,1.15,3.194444444444444,1.0906025487809066,2.791497804795677
S15,Shitalakshya,Rainy,Cd,8.7,24.166666666666664,4.0099840885726215,18.052397964707154
S16,Shitalakshya,Rainy,Cd,10.16,28.222222222222225,4.233797184608697,17.783866057838665
S17,Shitalakshya,Rainy,Cd,9.42,26.166666666666668,4.124695747449315,23.967874684720567
S1,Dhaleshwari,Rainy,Pb,50.73,2.67,0.831877241191673,2.3
S2,Dhaleshwari,Rainy,Pb,38.9,2.0473684210526315,0.4488082359340879,1.3465677347500864
S3,Dhaleshwari,Rainy,Pb,32.79,1.7257894736842105,0.20229398245359437,1.6559515183452997
S4,Dhaleshwari,Rainy,Pb,43.4,2.2842105263157895,0.6067331233923752,2.1899475658717447
S5,Dhaleshwari,Rainy,Pb,53.55,2.818421052631579,0.9099246556981517,1.8452514719762685
S6,Dhaleshwari,Rainy,Pb,37.88,1.993684210526316,0.41047441152891884,1.1848769209846322
S7,Dhaleshwari,Rainy,Pb,33.47,1.761578947368421,0.23190663174706333,0.9318379896383091
S8,Turag,Rainy,Pb,98.1,5.163157894736842,1.7832912171671345,2.6042243767313016
S9,Turag,Rainy,Pb,170.4,8.968421052631578,2.5798915111737344,4.306339962641467
S10,Turag,Rainy,Pb,108.6,5.71578947368421,1.9299902787522574,2.6086547850925057
S11,Buriganga,Rainy,Pb,155.4,8.178947368421053,2.446952679355606,4.410686740297402
S12,Buriganga,Rainy,Pb,177.9,9.363157894736842,2.642032686215056,4.594679572838646
S13,Balu,Rainy,Pb,35.98,1.8936842105263156,0.3362332673120158,1.3319491389023015
S14,Balu,Rainy,Pb,31.48,1.656842105263158,0.14347362156801993,1.4478483442649177
S15,Shitalakshya,Rainy,Pb,76.52,4.027368421052631,1.4248749544066457,3.0084272063725406
S16,Shitalakshya,Rainy,Pb,98.47,5.182631578947368,1.7887223388595754,3.2657678442682045
S17,Shitalakshya,Rainy,Pb,95.44,5.023157894736842,1.7436321237557617,4.601060596533149
S1,Dhaleshwari,Rainy,Fe,26700.0,1.1608695652173913,-0.36975661997797754,1.0
S2,Dhaleshwari,Rainy,Fe,34970.0,1.5204347826086957,0.019521434144822592,1.0
S3,Dhaleshwari,Rainy,Fe,23970.0,1.0421739130434782,-0.5253664529037607,1.0
S4,Dhaleshwari,Rainy,Fe,23990.0,1.0430434782608695,-0.5241632042594592,1.0
S5,Dhaleshwari,Rainy,Fe,35130.0,1.527391304347826,0.026107214669477442,1.0
S6,Dhaleshwari,Rainy,Fe,38700.0,1.682608695652174,0.16573720447887885,1.0
S7,Dhaleshwari,Rainy,Fe,43480.0,1.8904347826086956,0.33375557847441534,1.0
S8,Turag,Rainy,Fe,45600.0,1.982608695652174,0.4024374624992102,1.0
S9,Turag,Rainy,Fe,47900.0,2.082608695652174,0.47342929407064877,1.0
S10,Turag,Rainy,Fe,50395.0,2.191086956521739,0.5466842402264608,1.0
S11,Buriganga,Rainy,Fe,42650.0,1.8543478260869566,0.30594937965275865,1.0
S12,Buriganga,Rainy,Fe,46870.0,2.037826086956522,0.4420684329261305,1.0
S13,Balu,Rainy,Fe,32700.0,1.4217391304347826,-0.07730572616744891,1.0
S14,Balu,Rainy,Fe,26320.0,1.1443478260869566,-0.3904368728176524,1.0
S15,Shitalakshya,Rainy,Fe,30790.0,1.338695652173913,-0.16413449450807643,1.0
S16,Shitalakshya,Rainy,Fe,36500.0,1.5869565217391304,0.08130010210184822,1.0
S17,Shitalakshya,Rainy,Fe,25110.0,1.0917391304347825,-0.45833433328139384,1.0
S1,Dhaleshwari,Winter,Cr,106.58,1.1842222222222223,-0.3410226690655212,0.9264323507180648
S2,Dhaleshwari,Winter,Cr,104.28,1.1586666666666667,-0.3724969192899991,0.8301973001038421
S3,Dhaleshwari,Winter,Cr,89.77,0.9974444444444444,-0.5886541071121695,0.8202081595360107
S4,Dhaleshwari,Winter,Cr,71.55,0.7949999999999999,-0.9159357352115255,0.7092707525213343
S5,Dhaleshwari,Winter,Cr,100.15,1.1127777777777779,-0.4307969861254855,0.7015868664717348
S6,Dhaleshwari,Winter,Cr,86.2,0.9577777777777778,-0.6471996328490952,0.627067716734668
S7,Dhaleshwari,Winter,Cr,105.53,1.1725555555555556,-0.3553062216259447,0.693284775778349
S8,Turag,Winter,Cr,18.19,0.20211111111111113,-2.891741959174069,0.10514715122269974
S9,Turag,Winter,Cr,17.16,0.19066666666666668,-2.97583794932601,0.09971199029862057
S10,Turag,Winter,Cr,13.56,0.15066666666666667,-3.3155303236892117,0.0731237251178167
S11,Buriganga,Winter,Cr,93.3,1.0366666666666666,-0.5330104210864345,0.5945968412302576
S12,Buriganga,Winter,Cr,118.1,1.3122222222222222,-0.19295044254103597,0.6767065271549576
S13,Balu,Winter,Cr,17.11,0.1901111111111111,-2.9800477423361422,0.14355074049755598
S14,Balu,Winter,Cr,12.9,0.14333333333333334,-3.387516436514939,0.10370137359756736
S15,Shitalakshya,Winter,Cr,80.03,0.8892222222222222,-0.7543465929372776,0.6112406189812047
S16,Shitalakshya,Winter,Cr,62.13,0.6903333333333334,-1.1195974478838875,0.46562072336265886
S17,Shitalakshya,Winter,Cr,58.8,0.6533333333333333,-1.1990713471018288,0.5625857980781229
S1,Dhaleshwari,Winter,Ni,34.35,0.7308510638297873,-1.0373131584680557,0.571754233608337
S2,Dhaleshwari,Winter,Ni,27.1,0.5765957446808511,-1.3793304059322844,0.41313713793332013
S3,Dhaleshwari,Winter,Ni,59.33,1.2623404255319148,-0.24886147471352668,1.0380346724073666
S4,Dhaleshwari,Winter,Ni,49.17,1.0461702127659576,-0.5198449023529031,0.9333558919168745
S5,Dhaleshwari,Winter,Ni,50.68,1.0782978723404255,-0.4762067330327089,0.679847891004106
S6,Dhaleshwari,Winter,Ni,23.32,0.49617021276595746,-1.5960554689730218,0.3248481324684606
S7,Dhaleshwari,Winter,Ni,22.18,0.47191489361702127,-1.6683638920118085,0.2790242301591643
S8,Turag,Winter,Ni,81.17,1.7270212765957447,0.20332335600212834,0.8984729554784467
S9,Turag,Winter,Ni,85.22,1.813191489361702,0.27356879400470097,0.9482356583746965
S10,Turag,Winter,Ni,57.59,1.2253191489361703,-0.29180493547740766,0.5946896059407453
S11,Buriganga,Winter,Ni,71.63,1.5240425531914892,0.022940684538731354,0.8741391202843953
S12,Buriganga,Winter,Ni,79.25,1.6861702127659575,0.1687876777406137,0.8695496612918614
S13,Balu,Winter,Ni,39.41,0.8385106382978723,-0.8390615080356848,0.6331498582025956
S14,Balu,Winter,Ni,25.78,0.5485106382978724,-1.4513709938118673,0.39684632528628705
S15,Shitalakshya,Winter,Ni,28.1,0.597872340425532,-1.3270531270652297,0.410970228027114
S16,Shitalakshya,Winter,Ni,71.22,1.5153191489361701,0.014659178189544457,1.0220627690771824
S17,Shitalakshya,Winter,Ni,69.53,1.4793617021276595,-0.019987667981429934,1.2738794140372958
S1,Dhaleshwari,Winter,Cu,69.95,1.9430555555555555,0.37336465011392256,1.5200774754346182
S2,Dhaleshwari,Winter,Cu,75.12,2.086666666666667,0.47623765571558135,1.4951194184839045
S3,Dhaleshwari,Winter,Cu,71.13,1.975833333333333,0.39749875626497067,1.6247467524728876
S4,Dhaleshwari,Winter,Cu,92.34,2.565,0.7739963251111731,2.288401861908456
S5,Dhaleshwari,Winter,Cu,100.22,2.783888888888889,0.8921391304913844,1.755193104288499
S6,Dhaleshwari,Winter,Cu,189.14,5.253888888888889,1.8084231894450953,3.4397792326912735
S7,Dhaleshwari,Winter,Cu,112.23,3.1175,1.0554270593337893,1.8432519280205657
S8,Turag,Winter,Cu,100.19,2.7830555555555554,0.8917072074181849,1.447868757696851
S9,Turag,Winter,Cu,105.64,2.9344444444444444,0.9681248942288996,1.5346116921833155
S10,Turag,Winter,Cu,98.65,2.740277777777778,0.8693596436727279,1.3299512320930342
S11,Buriganga,Winter,Cu,177.37,4.926944444444445,1.7157307033875624,2.8259282349681354
S12,Buriganga,Winter,Cu,261.1,7.252777777777778,2.273571145262011,3.7402217239661186
S13,Balu,Winter,Cu,75.15,2.0875000000000004,0.4768136968655339,1.576247537754432
S14,Balu,Winter,Cu,79.57,2.210277777777778,0.5592651917187503,1.599131452937681
S15,Shitalakshya,Winter,Cu,105.2,2.9222222222222225,0.9621033922414715,2.0087002722985985
S16,Shitalakshya,Winter,Cu,115.48,3.207777777777778,1.0966117002977889,2.163603779732812
S17,Shitalakshya,Winter,Cu,169.29,4.7025,1.6484654430273142,4.049326095095469
S1,Dhaleshwari,Winter,As,9.12,1.357142857142857,-0.14438990933517495,1.0617103984450922
S2,Dhaleshwari,Winter,As,13.79,2.0520833333333335,0.4521268180140637,1.470340083073728
S3,Dhaleshwari,Winter,As,26.17,3.8943452380952386,1.3764182855481184,3.2023575429456734
S4,Dhaleshwari,Winter,As,25.35,3.772321428571429,1.3304901083907865,3.3655311426354877
S5,Dhaleshwari,Winter,As,28.37,4.221726190476191,1.4928705117744425,2.6617242977234756
S6,Dhaleshwari,Winter,As,14.2,2.113095238095238,0.4943952908921278,1.3834668510159545
S7,Dhaleshwari,Winter,As,21.37,3.180059523809524,1.0840912691598947,1.880240849553189
S8,Turag,Winter,As,12.54,1.8660714285714286,0.3150417093021222,0.9708130028758846
S9,Turag,Winter,As,14.23,2.117559523809524,0.49744002302656604,1.107409482665281
S10,Turag,Winter,As,19.87,2.956845238095238,0.9790962337497537,1.4350588832283284
S11,Buriganga,Winter,As,12.81,1.9062500000000002,0.34577483684173027,1.0933603491271822
S12,Buriganga,Winter,As,9.32,1.386904761904762,-0.11309377884563616,0.7152199444800342
S13,Balu,Winter,As,7.49,1.1145833333333335,-0.4284580150411654,0.8416092142700811
S14,Balu,Winter,As,8.53,1.2693452380952381,-0.24087799218162648,0.9183686843721445
S15,Shitalakshya,Winter,As,20.68,3.0773809523809526,1.036740546815018,2.1153545100048388
S16,Shitalakshya,Winter,As,19.83,2.950892857142857,0.9761890387289314,1.9903382907415166
S17,Shitalakshya,Winter,As,21.77,3.2395833333333335,1.1108457686882902,2.7896075127917137
S1,Dhaleshwari,Winter,Cd,4.43,12.305555555555555,3.0362753863915497,9.626795162509449
S2,Dhaleshwari,Winter,Cd,3.82,10.61111111111111,2.82254132587228,7.602976808584286
S3,Dhaleshwari,Winter,Cd,2.95,8.194444444444445,2.449683642085735,6.738370476303978
S4,Dhaleshwari,Winter,Cd,2.36,6.555555555555555,2.1277555471983725,5.848633738470822
S5,Dhaleshwari,Winter,Cd,2.1,5.833333333333334,1.959358015502654,3.6778143274853807
S6,Dhaleshwari,Winter,Cd,1.5,4.166666666666667,1.4739311883324122,2.727962804820192
S7,Dhaleshwari,Winter,Cd,1.36,3.777777777777778,1.3325753390868709,2.23364752927735
S8,Turag,Winter,Cd,3.69,10.25,2.7725895038969273,5.332503958380458
S9,Turag,Winter,Cd,5.14,14.277777777777777,3.2507370470304093,7.466777828305795
S10,Turag,Winter,Cd,2.9,8.055555555555555,2.425021587851466,3.9096386954584887
S11,Buriganga,Winter,Cd,7.1,19.72222222222222,3.7167877122285757,11.31199778331948
S12,Buriganga,Winter,Cd,9.1,25.27777777777778,4.07483523292259,13.035625311410065
S13,Balu,Winter,Cd,2.31,6.416666666666667,2.096861539252589,4.845152112059532
S14,Balu,Winter,Cd,1.53,4.25,1.502500340529183,3.074866310160428
S15,Shitalakshya,Winter,Cd,9.11,25.305555555555554,4.076419741638582,17.394733346616192
S16,Shitalakshya,Winter,Cd,14.93,41.47222222222222,4.789110947971072,27.972466601498862
S17,Shitalakshya,Winter,Cd,12.7,35.27777777777778,4.55572527949606,30.377719539082324
S1,Dhaleshwari,Winter,Pb,105.9,5.5736842105263165,1.8936687649402324,4.360365198711063
S2,Dhaleshwari,Winter,Pb,96.14,5.06,1.7541748841984293,3.6255451713395637
S3,Dhaleshwari,Winter,Pb,77.36,4.071578947368421,1.4406258755373749,3.3480985266168637
S4,Dhaleshwari,Winter,Pb,90.48,4.762105263157895,1.666637010050354,4.248581111428688
S5,Dhaleshwari,Winter,Pb,79.1,4.163157894736842,1.4727157754206877,2.624798014773776
S6,Dhaleshwari,Winter,Pb,63.44,3.3389473684210524,1.1544308517645119,2.1860458147931743
S7,Dhaleshwari,Winter,Pb,40.55,2.134210526315789,0.508739995165169,1.26187254769314
S8,Turag,Winter,Pb,233.47,12.287894736842105,3.0342033566720326,6.392707056036381
S9,Turag,Winter,Pb,250.11,13.163684210526316,3.133528916703408,6.884145903640411
S10,Turag,Winter,Pb,217.8,11.463157894736844,2.933970129664803,5.563465532368588
S11,Buriganga,Winter,Pb,259.1,13.63684210526316,3.1844751911279907,7.821630135188346
S12,Buriganga,Winter,Pb,297.4,15.652631578947368,3.3833708230003148,8.071984894972857
S13,Balu,Winter,Pb,64.1,3.3736842105263154,1.169362437566637,2.5474306251511902
S14,Balu,Winter,Pb,59.8,3.1473684210526316,1.0691835651460009,2.27711461730766
S15,Shitalakshya,Winter,Pb,96.87,5.098421052631579,1.7650880223956709,3.5045930726397585
S16,Shitalakshya,Winter,Pb,190.4,10.021052631578948,2.7399996542558394,6.759067757369965
S17,Shitalakshya,Winter,Pb,210.65,11.086842105263159,2.8858140915101504,9.546887623401446
S1,Dhaleshwari,Winter,Fe,29400.0,1.2782608695652173,-0.23078020682916706,1.0
S2,Dhaleshwari,Winter,Fe,32100.0,1.3956521739130434,-0.10402306454322834,1.0
S3,Dhaleshwari,Winter,Fe,27970.0,1.2160869565217391,-0.302716108076702,1.0
S4,Dhaleshwari,Winter,Fe,25780.0,1.1208695652173912,-0.42034409819124274,1.0
S5,Dhaleshwari,Winter,Fe,36480.0,1.586086956521739,0.08050936761184783,1.0
S6,Dhaleshwari,Winter,Fe,35130.0,1.527391304347826,0.026107214669477442,1.0
S7,Dhaleshwari,Winter,Fe,38900.0,1.691304347826087,0.17317379332066063,1.0
S8,Turag,Winter,Fe,44210.0,1.9221739130434783,0.35777637240117244,1.0
S9,Turag,Winter,Fe,43980.0,1.9121739130434783,0.35025124230207433,1.0
S10,Turag,Winter,Fe,47390.0,2.0604347826086955,0.457986299079707,1.0
S11,Buriganga,Winter,Fe,40100.0,1.7434782608695651,0.217005874789389,1.0
S12,Buriganga,Winter,Fe,44600.0,1.9391304347826086,0.3704473482547733,1.0
S13,Balu,Winter,Fe,30460.0,1.3243478260869566,-0.17968042006560161,1.0
S14,Balu,Winter,Fe,31790.0,1.3821739130434783,-0.11802334541491774,1.0
S15,Shitalakshya,Winter,Fe,33460.0,1.4547826086956521,-0.044158916514541076,1.0
S16,Shitalakshya,Winter,Fe,34100.0,1.482608695652174,-0.016824622641358946,1.0
S17,Shitalakshya,Winter,Fe,26710.0,1.161304347826087,-0.36921638591778383,1.0
