Paper_ID,First_Author,Year,River,Station_ID,Station_Name,Lat,Lon,Season,Season_Norm,Matrix,Unit_Norm,Background_standard,Analytical_method,Access_status,WHO_exceedance,GNN_usability,Metal,Concentration,Igeo_orig,EF_orig,CF_orig
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Cr,1535.0,3.51,66.83,17.06
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Ni,35.21,-1.53,2.03,0.52
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Cu,39.0,-0.79,3.4,0.87
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,As,11.82,-0.72,3.56,0.91
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Cd,5.25,3.54,68.58,17.5
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Pb,55.43,0.89,10.86,2.77
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Mn,494.0,-1.37,,
1,Bhuiyan,2015,Buriganga,RS1,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Fe,12045.0,,,
1,Bhuiyan,2015,Buriganga,RS2,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Cr,1256.0,3.22,46.83,13.96
1,Bhuiyan,2015,Buriganga,RS2,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Ni,42.11,-1.28,2.08,0.62
1,Bhuiyan,2015,Buriganga,RS2,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,Cu,17.3,-1.96,1.29,0.38
1,Bhuiyan,2015,Buriganga,RS2,,,,Dry,Winter,Sediment,mg/kg,Cabrera et al. 1999,EDXRF,Accessed,True,2,As,13.21,-0.56,3.41,1.02
