Paper_ID,First_Author,Year,River,Station_ID,Station_Name,Lat,Lon,Season,Matrix,Cr_conc,Ni_conc,Cu_conc,As_conc,Cd_conc,Pb_conc,Mn_conc,Fe_conc,Unit,pH,DO,EC,TDS,TOC_OM,Igeo_Cr,Igeo_Ni,Igeo_Cu,Igeo_As,Igeo_Cd,Igeo_Pb,Igeo_Mn,Igeo_Fe,EF_Cr,EF_Ni,EF_Cu,EF_As,EF_Cd,EF_Pb,CF_Cr,CF_Ni,CF_Cu,CF_As,CF_Cd,CF_Pb,PLI,Background_standard,Analytical_method,Access_status,WHO_exceedance,GNN_usability
1,Bhuiyan,2015,Buriganga,BW1,NaN,NaN,NaN,Dry,Water,120,200,210,210,80,200,100,110,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW2,NaN,NaN,NaN,Dry,Water,12,120,300,150,90,210,80,200,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW3,NaN,NaN,NaN,Dry,Water,160,400,250,190,70,120,60,210,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW4,NaN,NaN,NaN,Dry,Water,120,210,160,220,26,130,200,120,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW5,NaN,NaN,NaN,Dry,Water,150,140,140,140,90,140,140,140,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW6,NaN,NaN,NaN,Dry,Water,140,110,200,200,90,110,190,90,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW7,NaN,NaN,NaN,Dry,Water,110,120,120,150,80,150,100,1800,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW8,NaN,NaN,NaN,Dry,Water,180,130,130,130,70,100,110,300,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW9,NaN,NaN,NaN,Dry,Water,100,90,140,170,50,110,90,1100,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
1,Bhuiyan,2015,Buriganga,BW10,NaN,NaN,NaN,Dry,Water,130,150,190,90,90,100,180,1500,µg/L,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Cabrera et al. 1999,AAS,Accessed,True,2
