station_id,is_winter,season,end_date,rain_30d_mm,rain_7d_mm,temp_30d_K,temp_7d_K,temp_30d_C,temp_7d_C
S1,0,Rainy,2024-07-15,348.4406247138977,59.90558624267578,302.0909847683377,302.09557669503346,28.940984768337728,28.94557669503348
S2,0,Rainy,2024-07-15,313.97501373291016,42.01298522949219,302.0909847683377,302.09557669503346,28.940984768337728,28.94557669503348
S3,0,Rainy,2024-07-15,325.0075259208679,45.538973808288574,302.11119689941404,302.0954371861049,28.961196899414062,28.945437186104925
S4,0,Rainy,2024-07-15,338.87551164627075,41.71370887756348,302.11119689941404,302.0954371861049,28.961196899414062,28.945437186104925
S5,0,Rainy,2024-07-15,340.9315366744995,44.16775131225586,302.12149420844173,302.08931041899183,28.971494208441754,28.93931041899185
S6,0,Rainy,2024-07-15,318.5223140716553,35.72729015350342,302.0639692518446,302.02535720098587,28.913969251844605,28.87535720098589
S7,0,Rainy,2024-07-15,308.3683090209961,24.724576950073242,302.0186920166016,301.9702395484561,28.868692016601642,28.82023954845613
S8,0,Rainy,2024-07-15,354.85584115982056,53.95302772521973,302.02379184299036,302.0221949986049,28.873791842990386,28.872194998604925
S9,0,Rainy,2024-07-15,310.4783844947815,42.80348587036133,302.02379184299036,302.0221949986049,28.873791842990386,28.872194998604925
S10,0,Rainy,2024-07-15,349.6590437889099,53.448707580566406,302.0549848768447,302.0318094889323,28.904984876844708,28.881809488932333
S11,0,Rainy,2024-07-15,341.6458864212036,43.722782135009766,302.0549848768447,302.0318094889323,28.904984876844708,28.881809488932333
S12,0,Rainy,2024-07-15,299.02294731140137,16.59966278076172,302.0186920166016,301.9702395484561,28.868692016601642,28.82023954845613
S13,0,Rainy,2024-07-15,392.52012634277344,42.08137321472168,301.95469733344186,301.92384120396207,28.80469733344188,28.773841203962093
S14,0,Rainy,2024-07-15,391.3296047449112,49.11638832092285,301.92142910427515,301.9172959100633,28.77142910427517,28.767295910063297
S15,0,Rainy,2024-07-15,381.9737591743469,32.07380294799805,301.92142910427515,301.9172959100633,28.77142910427517,28.767295910063297
S16,0,Rainy,2024-07-15,415.003378868103,21.97682762145996,301.95469733344186,301.92384120396207,28.80469733344188,28.773841203962093
S17,0,Rainy,2024-07-15,333.81818199157715,15.7505521774292,301.9656131320529,301.91434297107514,28.81561313205293,28.764342971075166
S1,1,Winter,2024-01-15,2.479512929916382,0.0,292.26816878848604,291.10846646626794,19.11816878848606,17.958466466267964
S2,1,Winter,2024-01-15,0.0,0.0,292.26816878848604,291.10846646626794,19.11816878848606,17.958466466267964
S3,1,Winter,2024-01-15,3.7523295879364014,0.0,292.35610010359017,291.22222437177385,19.206100103590188,18.07222437177387
S4,1,Winter,2024-01-15,0.0,0.0,292.35610010359017,291.22222437177385,19.206100103590188,18.07222437177387
S5,1,Winter,2024-01-15,0.0,0.0,292.4794887754652,291.3818690890358,19.329488775465222,18.231869089035797
S6,1,Winter,2024-01-15,0.0,0.0,292.3919724994236,291.28384081522626,19.24197249942364,18.13384081522628
S7,1,Winter,2024-01-15,0.0,0.0,292.3091599994235,291.16563024975,19.159159999423537,18.015630249750018
S8,1,Winter,2024-01-15,5.303779363632202,0.0,292.2477450688681,291.061858858381,19.097745068868107,17.911858858381038
S9,1,Winter,2024-01-15,5.518976211547852,0.0,292.2477450688681,291.061858858381,19.097745068868107,17.911858858381038
S10,1,Winter,2024-01-15,5.397088289260864,0.0,292.28543766869444,291.1369960421608,19.135437668694465,17.986996042160797
S11,1,Winter,2024-01-15,0.0,0.0,292.28543766869444,291.1369960421608,19.135437668694465,17.986996042160797
S12,1,Winter,2024-01-15,0.0,0.0,292.3091599994235,291.16563024975,19.159159999423537,18.015630249750018
S13,1,Winter,2024-01-15,0.0,0.0,292.27764687008323,291.1246611277262,19.127646870083254,17.974661127726222
S14,1,Winter,2024-01-15,5.934539318084717,0.0,292.19865110185407,291.0206223442441,19.04865110185409,17.87062234424411
S15,1,Winter,2024-01-15,0.0,0.0,292.19865110185407,291.0206223442441,19.04865110185409,17.87062234424411
S16,1,Winter,2024-01-15,0.0,0.0,292.27764687008323,291.1246611277262,19.127646870083254,17.974661127726222
S17,1,Winter,2024-01-15,0.0,0.0,292.3257479985555,291.20005407787505,19.17574799855555,18.050054077875075
