Site,River,SiteType,Latitude,Longitude,Season,DataSource,Temperature_S,pH_S,EC_S,TSS_S,Turbidity_S,Salinity_S,TDS_S,DO_S,COD_S,NH4+_S,NO3_S,Phosphate_S,Sulfates_S,K_S,Ca_S,Mg_S,Cl_S,Br_S,Cd_S,Cr_S,Ni_S,Cu_S,Zn_S,Mn_S,Hg_S,As_S,Pb_S
S1,Dhaleshwari,Upstream,23.91026,90.229845,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S2,Dhaleshwari,Upstream,23.858227,90.240038,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S3,Dhaleshwari,Upstream,23.802571,90.24539,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S4,Dhaleshwari,Upstream,23.754298,90.246581,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S5,Dhaleshwari,Mid-stream,23.702157,90.277077,Summer,Interpolated (Buriganga Mid-stream avg),31.8,5.327500000000001,1218.25,342.25,123.5,566.0,1351.75,0.47000000000000003,790.5,6.174999999999999,34.275,2.2424999999999997,86.5,26.15,64.07499999999999,28.65,68.1825,0.6675,0.5325,0.32375,0.12975,1.16875,0.56075,1.5992499999999998,0.0985,0.07325,0.6174999999999999
S6,Dhaleshwari,Mid-stream,23.657826,90.317763,Summer,Interpolated (Buriganga Mid-stream avg),31.8,5.327500000000001,1218.25,342.25,123.5,566.0,1351.75,0.47000000000000003,790.5,6.174999999999999,34.275,2.2424999999999997,86.5,26.15,64.07499999999999,28.65,68.1825,0.6675,0.5325,0.32375,0.12975,1.16875,0.56075,1.5992499999999998,0.0985,0.07325,0.6174999999999999
S7,Dhaleshwari,Downtown,23.628,90.388647,Summer,Interpolated (Buriganga Downtown avg),31.8,5.376666666666668,2210.6666666666665,384.3333333333333,148.33333333333334,1186.0,2102.6666666666665,0.5533333333333333,863.0,7.300000000000001,27.53333333333333,3.366666666666667,83.53333333333333,33.43333333333333,88.5,49.199999999999996,119.21,0.36000000000000004,0.12266666666666666,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.49633333333333335,2.2256666666666667,0.18066666666666667,0.11066666666666668,1.5586666666666666
S8,Turag,Upstream,23.877666,90.350573,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S9,Turag,Mid-stream,23.826986,90.342201,Summer,Interpolated (Buriganga Mid-stream avg),31.8,5.327500000000001,1218.25,342.25,123.5,566.0,1351.75,0.47000000000000003,790.5,6.174999999999999,34.275,2.2424999999999997,86.5,26.15,64.07499999999999,28.65,68.1825,0.6675,0.5325,0.32375,0.12975,1.16875,0.56075,1.5992499999999998,0.0985,0.07325,0.6174999999999999
S10,Turag,Downtown,23.792572,90.339601,Summer,Interpolated (Buriganga Downtown avg),31.8,5.376666666666668,2210.6666666666665,384.3333333333333,148.33333333333334,1186.0,2102.6666666666665,0.5533333333333333,863.0,7.300000000000001,27.53333333333333,3.366666666666667,83.53333333333333,33.43333333333333,88.5,49.199999999999996,119.21,0.36000000000000004,0.12266666666666666,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.49633333333333335,2.2256666666666667,0.18066666666666667,0.11066666666666668,1.5586666666666666
S11,Buriganga,Mid-stream,23.716059,90.359274,Summer,Actual (Buriganga: Rayerbazar),29.5,6.59,692.0,178.0,82.0,244.0,825.0,1.1,655.0,3.0,19.8,1.51,89.2,23.8,30.9,16.5,41.79,0.8,0.005,0.029,0.089,0.114,0.309,1.002,0.093,0.057,0.119
S12,Buriganga,Downtown,23.664709,90.451701,Summer,Actual (Buriganga: Sadarghat Terminal),32.9,4.11,2119.0,464.0,175.0,1156.0,2377.0,0.0,1180.0,10.4,44.5,3.24,77.7,31.2,69.8,21.8,146.2,0.35,0.193,1.133,0.451,0.633,0.442,2.456,0.255,0.161,2.144
S13,Balu,Upstream,23.7640048,90.4825378,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S14,Balu,Mid-stream,23.808202,90.484506,Summer,Interpolated (Buriganga Mid-stream avg),31.8,5.327500000000001,1218.25,342.25,123.5,566.0,1351.75,0.47000000000000003,790.5,6.174999999999999,34.275,2.2424999999999997,86.5,26.15,64.07499999999999,28.65,68.1825,0.6675,0.5325,0.32375,0.12975,1.16875,0.56075,1.5992499999999998,0.0985,0.07325,0.6174999999999999
S15,Shitalakshya,Upstream,23.83271,90.548478,Summer,Interpolated (Buriganga Upstream avg),30.549999999999997,6.029999999999999,1621.5,315.5,117.0,670.5,1030.0,0.845,709.0,2.8499999999999996,32.65,2.465,83.35,53.0,87.4,57.5,104.205,0.53,0.005,0.0635,0.301,0.6950000000000001,0.42300000000000004,1.0865,0.018,0.1055,0.32
S16,Shitalakshya,Mid-stream,23.715818,90.504423,Summer,Interpolated (Buriganga Mid-stream avg),31.8,5.327500000000001,1218.25,342.25,123.5,566.0,1351.75,0.47000000000000003,790.5,6.174999999999999,34.275,2.2424999999999997,86.5,26.15,64.07499999999999,28.65,68.1825,0.6675,0.5325,0.32375,0.12975,1.16875,0.56075,1.5992499999999998,0.0985,0.07325,0.6174999999999999
S17,Shitalakshya,Downtown,23.62842,90.514128,Summer,Interpolated (Buriganga Downtown avg),31.8,5.376666666666668,2210.6666666666665,384.3333333333333,148.33333333333334,1186.0,2102.6666666666665,0.5533333333333333,863.0,7.300000000000001,27.53333333333333,3.366666666666667,83.53333333333333,33.43333333333333,88.5,49.199999999999996,119.21,0.36000000000000004,0.12266666666666666,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.49633333333333335,2.2256666666666667,0.18066666666666667,0.11066666666666668,1.5586666666666666
