CrR,NiR,CuR,CdR,PbR,MR,SandR,SiltR,ClayR,FeR,Long,Lat,AsR
70.86897754206083,32.24006743497005,111.95888007456324,4.261243158600936,86.89404906198051,34.28463155887327,16.253926532930116,45.48848307950527,38.11864328314824,41735.221423255825,90.43060852430816,23.61274469982163,15.02158219883568
61.47689925990756,27.107515853932636,71.7744541255554,1.5757125967970922,42.91076914472573,31.605381065630574,58.10379237244712,22.30076244979028,18.16088480608446,29951.578627139625,90.11406230846896,23.66377289761991,17.078129756384175
75.17973730147924,42.28495686275936,123.68856122144716,6.0481004832696215,121.73600338363738,34.74647156720521,13.34840564017515,40.31327187892797,46.11724052151228,43306.98650210281,90.43220335875688,23.637573201575652,12.67088480301858
13.076752442159425,39.721705586271405,86.34765637455968,3.518396545873058,165.22051251589832,32.395203895580906,18.752019288508077,30.70854723282168,49.660044638018995,47780.74347790394,90.34576902211585,23.834252994638916,11.102591208922362
67.33073292465116,28.29348591535662,59.85384991801763,2.0200484505846337,42.42380102135789,31.364910573270045,46.7817213412104,33.08268736646092,18.832915792681327,29048.06218913513,90.02328345724526,23.67071966636189,16.703959087764915
19.299844979872415,28.2043767684922,61.58226903366952,3.6839234272587,48.271999835909995,36.769826175087594,40.5991922883172,34.06463994945708,26.004787839384704,31180.904959305924,90.5139872385986,23.77681852243475,8.838504298340544
66.55034885117398,28.50947381808921,59.69116500191751,2.023502941378145,41.72070828531527,31.304131167293136,47.26379635302828,32.56687811087978,19.22107142582157,28273.350223843227,90.12709234600068,23.74106803843212,16.673174641660857
61.22948244955895,13.582510443025262,98.86575769713998,0.9929844953656024,41.88694180027893,31.27557811975925,62.72190047039135,10.983462361655056,24.37940074165701,38888.70184715255,90.33008134844432,23.65493746951183,11.035667768014504
75.67229450170119,25.389231262809844,50.06588566550719,2.385438001458332,40.771809818921575,31.099287693337885,34.6041008566438,39.69568088170287,25.234315298046916,27559.169083742876,90.112840926056,23.813285073043964,13.10227736380788
62.68391818137654,23.374808400896885,89.69203773983953,1.536306191402001,54.0356898676751,32.17368014469826,62.1169864781279,17.204341090499586,18.134576380515902,36365.252286738425,90.27156734782558,23.6523007269332,15.15392516441553
35.54963422619229,22.713369815221817,67.23534838127874,6.287360540102471,63.43816986325368,37.178343243794565,23.51346664531911,49.57813697403126,28.55747380517064,30687.092688056713,90.5889533087124,23.91962318972518,12.37146225223882
79.33977498635694,23.43533704378362,45.79594312028535,2.603848225421461,52.319845962304285,32.19409642851743,21.45934539351541,46.447940902245726,31.332131734759123,30531.88830632046,90.21672397325857,23.993396304083365,9.59009791384466
31.058786942930094,23.02554280762864,65.02488735667181,5.4380698429259,58.10298349940497,37.089281436103285,25.9111942161967,47.157090563862106,28.131146321587657,30315.959796277795,90.53074079421464,23.799430311171633,11.403097107141695
82.32536538745633,22.44870008075538,44.550826433047895,2.623334885219447,51.45972983767435,32.17903857112519,21.42307784495645,46.06104564497378,31.88650014135509,29820.81051654726,90.21627753012028,23.97277094953435,9.29544905849455
