Stations,River,Lat,Long,geometry,hydrological_dist_to_nearest_BF,num_upstream_BF,hydrological_dist_to_nearest_IND,num_upstream_IND,CrW,NiW,CuW,AsW,CdW,PbW,MW,SandW,SiltW,ClayW,FeW,RI,AE_00,AE_01,AE_02,AE_03,AE_04,AE_05,AE_06,AE_07,AE_08,AE_09,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16,AE_17,AE_18,AE_19,AE_20,AE_21,AE_22,AE_23,AE_24,AE_25,AE_26,AE_27,AE_28,AE_29,AE_30,AE_31,AE_32,AE_33,AE_34,AE_35,AE_36,AE_37,AE_38,AE_39,AE_40,AE_41,AE_42,AE_43,AE_44,AE_45,AE_46,AE_47,AE_48,AE_49,AE_50,AE_51,AE_52,AE_53,AE_54,AE_55,AE_56,AE_57,AE_58,AE_59,AE_60,AE_61,AE_62,AE_63
S1,Dhaleshwari,23.91026,90.229845,POINT (10044340.399756001 2742476.70627368),0.0002,6.0,0.006789622,2.0,106.58,34.35,69.95,9.12,4.43,105.9,30.69,16.0,51.0,28.0,29400.0,133.26,0.03844675124951941,-0.2288965782391388,0.07972318339100345,0.022206843521722412,-0.03844675124951941,0.05911572472126105,0.006151480199923107,0.012056901191849288,-0.0629911572472126,0.14769703960015382,0.29287197231833906,-0.007443291041906958,-0.1929104190695886,-0.08882737408688965,0.019930795847750864,0.08421376393694734,-0.044844290657439445,-0.17279507881584008,-0.13588619761630144,-0.08882737408688965,-0.0271280276816609,0.1929104190695886,-0.05911572472126105,0.05173394848135333,-0.15378700499807765,0.022206843521722412,0.024605920799692427,-0.019930795847750864,0.08882737408688965,0.12456747404844293,0.024605920799692427,0.1085121107266436,-0.13016532103037293,-0.08421376393694734,0.017777777777777778,0.2364628988850442,-0.12456747404844293,-0.1085121107266436,0.041584006151480196,0.2761399461745483,-0.07535563244905807,0.044844290657439445,0.13016532103037293,0.1085121107266436,-0.07535563244905807,0.17937716262975778,-0.10340638216070744,0.2679584775086506,-0.19986159169550174,-0.09842368319876971,-0.008858131487889272,0.16633602460592078,-0.186082276047674,-0.07535563244905807,0.15378700499807765,-0.16633602460592078,-0.08882737408688965,0.07972318339100345,0.0271280276816609,-0.029773164167627833,0.010396001537870049,-0.16633602460592078,0.0629911572472126,0.2364628988850442
S2,Dhaleshwari,23.858227,90.240038,POINT (10045475.079325657 2736141.9436627394),2e-05,1.0,0.0,0.0,104.28,27.1,75.12,13.79,3.82,96.14,32.41,16.0,62.0,27.0,32100.0,115.16,0.017777777777777778,-0.1929104190695886,0.05173394848135333,0.05173394848135333,-0.0271280276816609,0.13016532103037293,0.002214532871972318,0.029773164167627833,-0.012056901191849288,0.16633602460592078,0.2761399461745483,-0.05911572472126105,-0.186082276047674,-0.1085121107266436,0.05536332179930796,0.08421376393694734,-0.1085121107266436,-0.17937716262975778,-0.09356401384083046,-0.07111111111111111,-0.041584006151480196,0.2069357939254133,-0.04822760476739715,0.08421376393694734,-0.14769703960015382,0.022206843521722412,0.09356401384083046,-0.12456747404844293,0.07535563244905807,0.0629911572472126,0.019930795847750864,0.17937716262975778,-0.07535563244905807,-0.01574778931180315,-0.017777777777777778,0.2519646289888504,-0.012056901191849288,-0.12456747404844293,0.0629911572472126,0.2519646289888504,-0.05173394848135333,0.03844675124951941,0.11909265667051133,0.1085121107266436,-0.09842368319876971,0.15378700499807765,-0.14173010380622836,0.29287197231833906,-0.1929104190695886,-0.044844290657439445,-0.007443291041906958,0.13588619761630144,-0.16633602460592078,-0.0629911572472126,0.13588619761630144,-0.17937716262975778,-0.07111111111111111,0.05911572472126105,0.041584006151480196,-0.07535563244905807,-0.019930795847750864,-0.16633602460592078,0.07535563244905807,0.2519646289888504
S3,Dhaleshwari,23.802571,90.24539,POINT (10046070.861240383 2729368.914036628),0.0002,6.0,0.0021,4.0,89.77,59.33,71.13,26.17,2.95,77.36,30.14,57.0,30.0,17.0,27970.0,107.92,0.003014225297962322,-0.1929104190695886,0.0271280276816609,0.07972318339100345,-0.0015378700499807767,0.14769703960015382,-0.019930795847750864,0.07111111111111111,-0.024605920799692427,0.21413302575932336,0.24415224913494812,-0.0629911572472126,-0.186082276047674,-0.08421376393694734,0.08882737408688965,0.07972318339100345,-0.09842368319876971,-0.16633602460592078,-0.06698961937716265,-0.041584006151480196,-0.05173394848135333,0.1929104190695886,-0.03543252595155709,0.09356401384083046,-0.11909265667051133,0.029773164167627833,0.12456747404844293,-0.17937716262975778,0.05173394848135333,0.041584006151480196,-0.0271280276816609,0.21413302575932336,-0.05173394848135333,-0.019930795847750864,-0.03543252595155709,0.2288965782391388,0.012056901191849288,-0.09842368319876971,0.09842368319876971,0.2761399461745483,-0.0271280276816609,0.04822760476739715,0.09842368319876971,0.07972318339100345,-0.13016532103037293,0.12456747404844293,-0.14769703960015382,0.28444444444444444,-0.19986159169550174,-0.06698961937716265,0.03543252595155709,0.15378700499807765,-0.13588619761630144,-0.0629911572472126,0.14769703960015382,-0.13588619761630144,-0.07111111111111111,0.08421376393694734,0.012056901191849288,-0.07535563244905807,-0.010396001537870049,-0.14173010380622836,0.08421376393694734,0.2599000384467512
S4,Dhaleshwari,23.754298,90.246581,POINT (10046203.442753918 2723496.704977303),0.073025954,2.0,0.027233506,6.0,71.55,49.17,92.34,25.35,2.36,90.48,29.58,71.0,18.0,13.0,25780.0,126.51,0.04822760476739715,-0.14173010380622836,0.08421376393694734,0.05536332179930796,-0.01574778931180315,0.14769703960015382,0.044844290657439445,-0.004982698961937716,0.0005536332179930795,0.19986159169550174,0.24415224913494812,-0.03844675124951941,-0.17937716262975778,-0.14173010380622836,0.08421376393694734,0.12456747404844293,-0.13588619761630144,-0.1929104190695886,-0.13016532103037293,-0.0629911572472126,-0.07972318339100345,0.19986159169550174,-0.06698961937716265,0.08421376393694734,-0.09356401384083046,0.06698961937716265,0.11909265667051133,-0.08421376393694734,0.04822760476739715,0.044844290657439445,0.008858131487889272,0.17279507881584008,-0.07535563244905807,-0.004982698961937716,-0.010396001537870049,0.2761399461745483,-0.012056901191849288,-0.13588619761630144,0.06698961937716265,0.2288965782391388,-0.024605920799692427,0.08421376393694734,0.07111111111111111,0.11374086889657825,-0.07972318339100345,0.16633602460592078,-0.15378700499807765,0.2679584775086506,-0.1929104190695886,-0.0629911572472126,-0.01384083044982699,0.12456747404844293,-0.1085121107266436,-0.07535563244905807,0.16633602460592078,-0.17937716262975778,-0.06698961937716265,0.0629911572472126,0.008858131487889272,-0.05911572472126105,-0.01384083044982699,-0.16000000000000003,0.08882737408688965,0.2679584775086506
S5,Dhaleshwari,23.702157,90.277077,POINT (10049598.24194515 2717156.4153029486),0.074112534,15.0,0.1221633,5.0,100.15,50.68,100.22,28.37,2.1,79.1,33.78,75.0,19.0,9.0,36480.0,147.44,0.007443291041906958,-0.019930795847750864,0.13588619761630144,-0.03543252595155709,0.006151480199923107,0.17279507881584008,-0.008858131487889272,0.03543252595155709,-0.11374086889657825,0.2519646289888504,0.10340638216070744,0.05536332179930796,-0.2679584775086506,-0.0015378700499807767,0.05911572472126105,0.15378700499807765,-0.19986159169550174,0.041584006151480196,-0.14173010380622836,-0.10340638216070744,-0.33685505574778934,0.24415224913494812,-0.09356401384083046,0.041584006151480196,0.09356401384083046,0.24415224913494812,0.022206843521722412,-0.01384083044982699,-0.07111111111111111,0.04822760476739715,0.07111111111111111,0.08421376393694734,-0.10340638216070744,0.03254133025759323,0.14769703960015382,0.16633602460592078,-0.09842368319876971,0.04822760476739715,0.14173010380622836,0.05911572472126105,0.08421376393694734,0.13588619761630144,-0.16633602460592078,0.21413302575932336,0.07535563244905807,0.12456747404844293,0.08421376393694734,0.0629911572472126,-0.1085121107266436,0.13588619761630144,0.010396001537870049,0.13016532103037293,-0.01574778931180315,-0.05536332179930796,0.2599000384467512,-0.14173010380622836,-0.0271280276816609,-0.017777777777777778,-0.12456747404844293,-0.10340638216070744,-0.041584006151480196,-0.07972318339100345,0.019930795847750864,0.09842368319876971
S6,Dhaleshwari,23.657826,90.317763,POINT (10054127.386747565 2711767.8054846074),0.059847162,16.0,0.017011564,8.0,86.2,23.32,189.14,14.2,1.5,63.44,31.45,69.0,23.0,15.0,35130.0,120.3,0.024605920799692427,-0.029773164167627833,0.11374086889657825,-0.0015378700499807767,-0.019930795847750864,0.14769703960015382,-0.05173394848135333,0.06698961937716265,-0.14769703960015382,0.28444444444444444,0.08421376393694734,-0.004982698961937716,-0.2364628988850442,-0.09356401384083046,0.0015378700499807767,0.08882737408688965,-0.1929104190695886,-0.006151480199923107,-0.09356401384083046,0.010396001537870049,-0.33685505574778934,0.2519646289888504,-0.08421376393694734,0.06698961937716265,0.1085121107266436,0.28444444444444444,0.017777777777777778,-0.05173394848135333,-0.022206843521722412,0.09842368319876971,0.007443291041906958,0.06698961937716265,-0.07972318339100345,0.05911572472126105,0.14769703960015382,0.16633602460592078,-0.041584006151480196,-0.012056901191849288,0.11374086889657825,0.0271280276816609,0.07972318339100345,0.1929104190695886,-0.12456747404844293,0.2761399461745483,0.09356401384083046,0.08882737408688965,0.03543252595155709,0.09356401384083046,-0.044844290657439445,0.19986159169550174,-0.041584006151480196,0.08882737408688965,0.03543252595155709,-0.0271280276816609,0.24415224913494812,-0.17937716262975778,-0.03254133025759323,-0.06698961937716265,-0.10340638216070744,-0.0629911572472126,-0.08882737408688965,-0.08421376393694734,0.004982698961937716,0.07972318339100345
S7,Dhaleshwari,23.628,90.388647,POINT (10062018.157532955 2708143.364201993),0.002,26.0,0.054891434,9.0,105.53,22.18,112.23,21.37,1.36,40.55,30.98,15.0,63.0,28.0,38900.0,120.94,0.019930795847750864,-0.17937716262975778,0.029773164167627833,0.05911572472126105,-0.04822760476739715,0.13588619761630144,0.010396001537870049,0.041584006151480196,-0.03844675124951941,0.2069357939254133,0.2519646289888504,-0.05911572472126105,-0.17937716262975778,-0.10340638216070744,0.07111111111111111,0.11374086889657825,-0.07972318339100345,-0.17937716262975778,-0.09842368319876971,-0.03844675124951941,-0.03543252595155709,0.19986159169550174,-0.04822760476739715,0.07972318339100345,-0.13588619761630144,0.03844675124951941,0.1085121107266436,-0.14769703960015382,0.07111111111111111,0.041584006151480196,-0.010396001537870049,0.21413302575932336,-0.0629911572472126,-0.019930795847750864,-0.024605920799692427,0.2288965782391388,-0.000984236831987697,-0.12456747404844293,0.08421376393694734,0.2519646289888504,-0.03254133025759323,0.05911572472126105,0.11909265667051133,0.08882737408688965,-0.13016532103037293,0.16633602460592078,-0.14173010380622836,0.28444444444444444,-0.21413302575932336,-0.08421376393694734,0.03844675124951941,0.16000000000000003,-0.13016532103037293,-0.07535563244905807,0.13588619761630144,-0.12456747404844293,-0.05173394848135333,0.09842368319876971,0.03254133025759323,-0.044844290657439445,0.000984236831987697,-0.16000000000000003,0.07535563244905807,0.2519646289888504
S8,Turag,23.877666,90.350573,POINT (10057779.779240493 2738508.2485546176),0.069148629,31.0,0.011071348,12.0,18.19,81.17,100.19,12.54,3.69,233.47,30.74,9.0,52.0,43.0,44210.0,202.03,0.041584006151480196,-0.16633602460592078,0.07111111111111111,0.04822760476739715,-0.000984236831987697,0.13016532103037293,0.0271280276816609,0.022206843521722412,-0.05911572472126105,0.17279507881584008,0.2519646289888504,-0.07111111111111111,-0.16633602460592078,-0.11909265667051133,0.041584006151480196,0.04822760476739715,-0.06698961937716265,-0.1929104190695886,-0.08421376393694734,-0.05911572472126105,-0.044844290657439445,0.186082276047674,-0.06698961937716265,0.1085121107266436,-0.12456747404844293,0.05911572472126105,0.09842368319876971,-0.1085121107266436,0.08882737408688965,0.03254133025759323,0.002214532871972318,0.22145328719723184,-0.07535563244905807,0.003014225297962322,0.03254133025759323,0.2679584775086506,-0.019930795847750864,-0.13016532103037293,0.0629911572472126,0.24415224913494812,-0.04822760476739715,0.03844675124951941,0.10340638216070744,0.10340638216070744,-0.09842368319876971,0.15378700499807765,-0.16000000000000003,0.2679584775086506,-0.2364628988850442,-0.03844675124951941,-0.024605920799692427,0.14769703960015382,-0.16000000000000003,-0.05911572472126105,0.15378700499807765,-0.14769703960015382,-0.05173394848135333,0.08421376393694734,0.019930795847750864,-0.05173394848135333,-0.017777777777777778,-0.13016532103037293,0.06698961937716265,0.28444444444444444
S9,Turag,23.826986,90.342201,POINT (10056847.81246357 2732339.727732372),0.071188392,19.0,0.038213203,3.0,17.16,85.22,105.64,14.23,5.14,250.11,33.67,16.0,25.0,63.0,43980.0,320.26,0.0271280276816609,-0.1929104190695886,0.07535563244905807,0.044844290657439445,0.01384083044982699,0.08421376393694734,0.002214532871972318,-0.004982698961937716,-0.13016532103037293,0.21413302575932336,0.22145328719723184,-0.041584006151480196,-0.21413302575932336,-0.13016532103037293,-0.04822760476739715,0.029773164167627833,-0.11374086889657825,-0.11909265667051133,-0.14769703960015382,-0.01384083044982699,-0.09842368319876971,0.22145328719723184,-0.09356401384083046,0.11374086889657825,-0.08421376393694734,0.13016532103037293,0.006151480199923107,-0.041584006151480196,0.07535563244905807,0.029773164167627833,0.03844675124951941,0.09356401384083046,-0.07972318339100345,0.000984236831987697,0.14769703960015382,0.2599000384467512,-0.08882737408688965,-0.11374086889657825,0.08882737408688965,0.17279507881584008,-0.08882737408688965,0.03844675124951941,0.08421376393694734,0.17279507881584008,-0.07111111111111111,0.16633602460592078,-0.14769703960015382,0.28444444444444444,-0.21413302575932336,0.044844290657439445,-0.07535563244905807,0.15378700499807765,-0.08421376393694734,-0.029773164167627833,0.1929104190695886,-0.13588619761630144,-0.05911572472126105,0.05536332179930796,-0.03844675124951941,-0.022206843521722412,-0.07535563244905807,-0.16633602460592078,0.041584006151480196,0.2761399461745483
S10,Turag,23.792572,90.339601,POINT (10056558.381787509 2728152.3983553937),0.027388047,19.0,0.014003668,2.0,13.56,57.59,98.65,19.87,2.9,217.8,31.47,7.0,60.0,30.0,47390.0,225.63,0.04822760476739715,-0.2519646289888504,0.05911572472126105,0.0271280276816609,-0.041584006151480196,0.044844290657439445,0.044844290657439445,-0.010396001537870049,-0.0629911572472126,0.14769703960015382,0.2761399461745483,-0.041584006151480196,-0.16633602460592078,-0.14769703960015382,0.05173394848135333,0.0629911572472126,-0.029773164167627833,-0.17279507881584008,-0.09842368319876971,-0.0629911572472126,-0.008858131487889272,0.2069357939254133,-0.07111111111111111,0.05911572472126105,-0.14173010380622836,0.03543252595155709,0.07111111111111111,-0.05911572472126105,0.1085121107266436,0.06698961937716265,0.008858131487889272,0.16000000000000003,-0.11374086889657825,-0.03254133025759323,0.041584006151480196,0.2599000384467512,-0.07111111111111111,-0.14173010380622836,0.04822760476739715,0.2599000384467512,-0.05173394848135333,0.03254133025759323,0.09842368319876971,0.13016532103037293,-0.07972318339100345,0.15378700499807765,-0.14173010380622836,0.28444444444444444,-0.2288965782391388,-0.044844290657439445,-0.006151480199923107,0.16633602460592078,-0.186082276047674,-0.06698961937716265,0.15378700499807765,-0.14769703960015382,-0.05911572472126105,0.07972318339100345,0.008858131487889272,-0.03254133025759323,0.03543252595155709,-0.13016532103037293,0.03844675124951941,0.2519646289888504
