Stations,River,Lat,Long,geometry,hydro_dist_brick,num_brick_field,hydro_dist_ind,num_industry,CrW,NiW,CuW,AsW,CdW,PbW,MW,SandW,SiltW,ClayW,FeW,RI
S1,Dhaleshwari,23.91026,90.229845,POINT (10044340.399756001 2742476.70627368),0.0002,6,0.006789622,2,106.58,34.35,69.95,9.12,4.43,105.9,30.69,16,51,28,29400,133.26
S2,Dhaleshwari,23.858227,90.240038,POINT (10045475.079325657 2736141.9436627394),2.00E-05,1,0,0,104.28,27.1,75.12,13.79,3.82,96.14,32.41,16,62,27,32100,115.16
S3,Dhaleshwari,23.802571,90.24539,POINT (10046070.861240383 2729368.914036628),0.0002,6,0.0021,4,89.77,59.33,71.13,26.17,2.95,77.36,30.14,57,30,17,27970,107.92
S4,Dhaleshwari,23.754298,90.246581,POINT (10046203.442753918 2723496.704977303),0.073025954,2,0.027233506,6,71.55,49.17,92.34,25.35,2.36,90.48,29.58,71,18,13,25780,126.51
S5,Dhaleshwari,23.702157,90.277077,POINT (10049598.24194515 2717156.4153029486),0.074112534,15,0.1221633,5,100.15,50.68,100.22,28.37,2.1,79.1,33.78,75,19,9,36480,147.44
S6,Dhaleshwari,23.657826,90.317763,POINT (10054127.386747565 2711767.8054846074),0.059847162,16,0.017011564,8,86.2,23.32,189.14,14.2,1.5,63.44,31.45,69,23,15,35130,120.3
S7,Dhaleshwari,23.628,90.388647,POINT (10062018.157532955 2708143.364201993),0.002,26,0.054891434,9,105.53,22.18,112.23,21.37,1.36,40.55,30.98,15,63,28,38900,120.94
S8,Turag,23.877666,90.350573,POINT (10057779.779240493 2738508.2485546176),0.069148629,31,0.011071348,12,18.19,81.17,100.19,12.54,3.69,233.47,30.74,9,52,43,44210,202.03
S9,Turag,23.826986,90.342201,POINT (10056847.81246357 2732339.727732372),0.071188392,19,0.038213203,3,17.16,85.22,105.64,14.23,5.14,250.11,33.67,16,25,63,43980,320.26
S10,Turag,23.792572,90.339601,POINT (10056558.381787509 2728152.3983553937),0.027388047,19,0.014003668,2,13.56,57.59,98.65,19.87,2.9,217.8,31.47,7,60,30,47390,225.63
S11,Buriganga,23.716059,90.359274,POINT (10058748.370129883 2718846.6356903426),0.045101812,1,0.042026515,2,93.3,71.63,177.37,12.81,7.1,259.1,30.19,72,21,17,40100,340.09
S12,Buriganga,23.664709,90.451701,POINT (10069037.296705434 2712604.341706875),0.087210959,2,0.0046348,8,118.1,79.25,261.1,9.32,9.1,297.4,31.47,16,28,58,44600,386.12
S13,Balu,23.7640048,90.4825378,POINT (10072470.033579128 2724677.3216521908),0.00256,11,0.067092512,1,17.11,39.41,75.15,7.49,2.31,64.1,33.58,75,19,9,30460,92.84
S14,Balu,23.808202,90.484506,POINT (10072689.132600907 2730054.043742744),0,0,2.00E-05,1,12.9,25.78,79.57,8.53,1.53,59.8,34.9,18,54,30,31790,81.26
S15,Shitalakshya,23.83271,90.548478,POINT (10079810.463065935 2733036.304108891),2.00E-05,1,0,0,80.03,28.1,105.2,20.68,9.11,96.87,35.64,12,63,28,33460,187.61
S16,Shitalakshya,23.715818,90.504423,POINT (10074906.282899037 2718817.333112144),0.0023,11,0.008102934,8,62.13,71.22,115.48,19.83,14.93,190.4,32.15,15,28,61,34100,232.42
S17,Shitalakshya,23.62842,90.514128,POINT (10075986.638557186 2708194.3966693203),0.0025,25,0.002,20,58.8,69.53,169.29,21.77,12.7,210.65,30.28,18,27,59,26710,231.42
