Stations,River,CrW,CrR,NiW,NiR,CuW,CuR,AsW,AsR,CdW,CdR,PbW,PbR,Lat,Long,geometry,hydrological_dist_to_nearest_BF,num_upstream_BF,hydrological_dist_to_nearest_IND,num_upstream_IND,MW,MR,SandW,SandR,SiltW,SiltR,ClayW,ClayR,FeW,FeR
S1,Dhaleshwari,106.58,92.69,34.35,19.18,69.95,40.34,9.12,7.96,4.43,2.66,105.9,50.73,23.91026,90.229845,POINT (10044340.399756001 2742476.70627368),0.0002,6,0.006789622,2,30.69,32.47,16,22,51,43,28,35,29400,26700
S2,Dhaleshwari,104.28,88.4,27.1,17.21,75.12,41.56,13.79,9.88,3.82,2.97,96.14,38.9,23.858227,90.240038,POINT (10045475.079325657 2736141.9436627394),2e-05,1,0.0,0,32.41,30.11,16,11,62,62,27,26,32100,34970
S3,Dhaleshwari,89.77,66.92,59.33,37.52,71.13,49.47,26.17,15.48,2.95,2.1,77.36,32.79,23.802571,90.24539,POINT (10046070.861240383 2729368.914036628),0.0002,6,0.0021,4,30.14,30.58,57,47,30,26,17,23,27970,23970
S4,Dhaleshwari,71.55,55.56,49.17,26.08,92.34,69.77,25.35,18.77,2.36,1.79,90.48,43.4,23.754298,90.246581,POINT (10046203.442753918 2723496.704977303),0.073025954,2,0.027233506,6,29.58,31.62,71,59,18,27,13,18,25780,23990
S5,Dhaleshwari,100.15,64.5,50.68,30.62,100.22,73.19,28.37,20.96,2.1,1.45,79.1,53.55,23.702157,90.277077,POINT (10049598.24194515 2717156.4153029486),0.074112534,15,0.1221633,5,33.78,32.84,75,61,19,24,9,10,36480,35130
S6,Dhaleshwari,86.2,60.35,23.32,11.72,189.14,98.28,14.2,10.42,1.5,0.82,63.44,37.88,23.657826,90.317763,POINT (10054127.386747565 2711767.8054846074),0.059847162,16,0.017011564,8,31.45,30.92,69,65,23,8,15,25,35130,38700
S7,Dhaleshwari,105.53,69.37,22.18,14.95,112.23,96.72,21.37,19.88,1.36,0.97,40.55,33.47,23.628,90.388647,POINT (10062018.157532955 2708143.364201993),0.002,26,0.054891434,9,30.98,34.52,15,12,63,65,28,25,38900,43480
S8,Turag,18.19,15.7,81.17,40.76,100.19,73.87,12.54,11.36,3.69,2.17,233.47,98.1,23.877666,90.350573,POINT (10057779.779240493 2738508.2485546176),0.069148629,31,0.011071348,12,30.74,35.8,9,15,52,53,43,31,44210,45600
S9,Turag,17.16,12.74,85.22,39.43,105.64,87.2,14.23,10.78,5.14,3.6,250.11,170.4,23.826986,90.342201,POINT (10056847.81246357 2732339.727732372),0.071188392,19,0.038213203,3,33.67,32.26,16,19,25,29,63,51,43980,47900
S10,Turag,13.56,11.13,57.59,47.01,98.65,80.78,19.87,18.9,2.9,2.79,217.8,108.6,23.792572,90.339601,POINT (10056558.381787509 2728152.3983553937),0.027388047,19,0.014003668,2,31.47,33.18,7,11,60,57,30,35,47390,50395
S11,Buriganga,93.3,74.47,71.63,49.94,177.37,141.4,12.81,9.88,7.1,5.56,259.1,155.4,23.716059,90.359274,POINT (10058748.370129883 2718846.6356903426),0.045101812,1,0.042026515,2,30.19,36.46,72,55,21,25,17,19,40100,42650
S12,Buriganga,118.1,86.82,79.25,55.88,261.1,147.9,9.32,7.98,9.1,7.94,297.4,177.9,23.664709,90.451701,POINT (10069037.296705434 2712604.341706875),0.087210959,2,0.0046348,8,31.47,34.51,16,14,28,29,58,56,44600,46870
S13,Balu,17.11,10.37,39.41,29.73,75.15,56.47,7.49,6.67,2.31,1.96,64.1,35.98,23.7640048,90.4825378,POINT (10072470.033579128 2724677.3216521908),0.00256,11,0.067092512,1,33.58,35.79,75,68,19,22,9,11,30460,32700
S14,Balu,12.9,9.44,25.78,21.94,79.57,53.71,8.53,6.9,1.53,1.15,59.8,31.48,23.808202,90.484506,POINT (10072689.132600907 2730054.043742744),0.0,0,2e-05,1,34.9,37.18,18,20,54,43,30,35,31790,26320
S15,Shitalakshya,80.03,51.37,28.1,16.78,105.2,71.89,20.68,15.71,9.11,8.7,96.87,76.52,23.83271,90.548478,POINT (10079810.463065935 2733036.304108891),2e-05,1,0.0,0,35.64,37.24,12,15,63,63,28,25,33460,30790
S16,Shitalakshya,62.13,40.75,71.22,46.14,115.48,85.56,19.83,13.92,14.93,10.16,190.4,98.47,23.715818,90.504423,POINT (10074906.282899037 2718817.333112144),0.0023,11,0.008102934,8,32.15,38.75,15,15,28,30,61,58,34100,36500
S17,Shitalakshya,58.8,44.82,69.53,50.63,169.29,91.33,21.77,15.84,12.7,9.42,210.65,95.44,23.62842,90.514128,POINT (10075986.638557186 2708194.3966693203),0.0025,25,0.002,20,30.28,34.56,18,13,27,31,59,51,26710,25110
