Location,Rainy
S1,133.26
S2,115.16
S3,107.92
S4,126.51
S5,147.44
S6,120.3
S7,120.94
S8,202.03
S9,320.26
S10,225.63
S11,340.09
S12,386.12
S13,92.84
S14,81.26
S15,187.61
S16,232.42
S17,231.42
