Stations,River,Lat,Long,CrW,NiW,CuW,AsW,CdW,PbW,MW,FeW,RI
S1,Dhaleshwari,23.91026,90.229845,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S2,Dhaleshwari,23.858227,90.240038,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S3,Dhaleshwari,23.802571,90.24539,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S4,Dhaleshwari,23.754298,90.246581,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S5,Dhaleshwari,23.702157,90.277077,0.3934999999999999,0.39475,0.8485,0.08425,0.55825,0.60975,0.5465,1.7667499999999998,0.8480625029736878
S6,Dhaleshwari,23.657826,90.317763,0.3934999999999999,0.39475,0.8485,0.08425,0.55825,0.60975,0.5465,1.7667499999999998,0.8480625029736878
S7,Dhaleshwari,23.628,90.388647,0.6363333333333334,0.4443333333333333,0.8596666666666667,0.089,0.113,1.1663333333333334,0.4203333333333334,2.4953333333333334,0.4496086607451957
S8,Turag,23.877666,90.350573,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S9,Turag,23.826986,90.342201,0.3934999999999999,0.39475,0.8485,0.08425,0.55825,0.60975,0.5465,1.7667499999999998,0.8480625029736878
S10,Turag,23.792572,90.339601,0.6363333333333334,0.4443333333333333,0.8596666666666667,0.089,0.113,1.1663333333333334,0.4203333333333334,2.4953333333333334,0.4496086607451957
S11,Buriganga,23.716059,90.359274,0.025,0.058,0.198,0.079,0.003,0.316,0.307,1.1,0.1160794818140298
S12,Buriganga,23.664709,90.451701,1.102,0.356,0.652,0.107,0.165,1.979,0.335,2.979,0.5227071226398664
S13,Balu,23.7640048,90.4825378,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S14,Balu,23.808202,90.484506,0.3934999999999999,0.39475,0.8485,0.08425,0.55825,0.60975,0.5465,1.7667499999999998,0.8480625029736878
S15,Shitalakshya,23.83271,90.548478,0.069,0.1149999999999999,0.6765,0.1735,0.0075,0.3855,0.4545,1.141,0.2081683251376606
S16,Shitalakshya,23.715818,90.504423,0.3934999999999999,0.39475,0.8485,0.08425,0.55825,0.60975,0.5465,1.7667499999999998,0.8480625029736878
